"","Father_A","Father_B","Father_C","Mother_A","Mother_B","Mother_C","D21_A","D21_B","D21_C","T21_A","T21_B","T21_C"
"NM_001164552",7,4,11,2,14,1,0,0,1,9,10,0
"NM_001164553",7,4,11,2,14,1,0,0,0,9,10,0
"NR_002227",0,0,0,0,0,0,1,0,2,0,0,0
"NR_126441",1,0,2,4,0,2,0,0,0,1,0,1
"NM_020808",2,3,8,3,1,1,2,0,1,0,8,4
"NR_146922",0,0,0,0,0,0,0,0,0,0,0,0
"NR_110683",0,0,0,0,0,0,0,0,0,0,0,0
"NM_019090",60,73,210,75,61,12,76,67,40,87,145,146
"NR_138027",184,289,524,196,253,65,230,167,91,326,310,211
"NM_001329453",150,236,475,151,189,58,148,132,84,288,265,177
"NM_032324",298,499,668,300,414,97,343,300,159,493,539,321
"NM_001329452",159,242,478,157,194,59,156,134,88,306,271,182
"NR_138028",117,114,350,126,126,42,117,75,62,216,159,138
"NR_138024",213,297,544,217,270,64,247,197,115,381,333,246
"NR_138025",158,187,492,168,195,56,207,118,85,286,214,208
"NR_138026",206,293,541,211,267,63,239,195,111,362,329,241
"NM_001328607",9,7,19,10,1,2,10,7,2,12,3,14
"NM_032435",9,8,14,0,0,0,0,2,1,6,3,4
"NR_039625",3,2,2,1,0,0,5,0,5,2,1,2
"NM_002245",100,102,243,74,48,17,178,103,59,147,128,116
"NR_039818",1,0,2,1,0,0,0,0,0,0,0,0
"NR_125962",26,13,66,12,20,3,21,11,19,11,26,13
"NR_125961",13,11,50,8,11,4,14,6,13,6,12,7
"NM_001012985",137,96,533,106,66,35,124,56,51,243,112,131
"NM_001301733",151,109,572,118,82,39,151,65,53,259,127,144
"NM_001206641",195,151,615,154,140,43,173,90,78,305,166,174
"NM_005646",2166,1954,5147,3059,2533,746,2674,1762,1493,2721,2284,2695
"NR_038426",0,1,6,0,0,0,0,2,0,1,0,0
"NM_182972",4033,3831,8411,4020,4098,1759,4498,2880,2180,5068,3467,3940
"NM_001077397",3795,3526,8138,3810,3764,1651,4263,2670,2071,4772,3210,3754
"NR_033927",4,12,29,8,9,0,2,1,4,2,3,6
"NR_125944",0,0,0,0,0,0,0,0,0,0,1,0
"NR_038856",6,18,20,6,27,0,7,9,1,1,15,3
"NR_148962",3,0,10,1,1,1,7,0,1,0,0,5
"NR_125945",14,14,17,44,27,16,17,11,9,21,22,14
"NR_002956",37,2070,97,43,624,14,34,806,23,56,429,32
"NR_027454",14,16,26,33,11,13,16,4,11,16,3,34
"NM_014765",2913,3128,6329,3014,2888,749,3726,2035,1436,3839,3169,2542
"NR_039908",6,3,5,8,6,3,8,6,0,0,1,4
"NR_036605",198,222,460,217,222,54,227,150,102,250,247,197
"NM_001037277",193,214,458,218,194,61,209,142,98,255,208,222
"NM_001277155",164,158,326,113,153,39,59,85,69,139,121,120
"NM_152490",463,379,916,336,362,81,303,191,198,435,379,408
"NM_001098722",4,0,14,5,1,3,13,0,1,3,4,3
"NM_001098721",4,0,13,5,1,3,13,0,1,3,4,3
"NM_004485",4,0,13,5,1,3,13,0,1,3,4,3
"NR_031718",8,4,14,14,2,0,11,3,4,7,4,4
"NR_102436",153,49,419,296,185,42,210,44,74,219,108,287
"NM_019891",1367,824,3222,1925,1443,358,1398,579,584,2113,1059,1305
"NR_034040",7,33,32,4,10,2,9,5,1,8,29,6
"NM_006499",969,1043,2517,978,912,256,1121,617,531,1185,871,810
"NM_201545",928,926,2459,936,807,240,1056,546,496,1121,757,767
"NM_201544",875,944,2415,890,799,229,1013,542,463,1085,801,756
"NM_201543",882,964,2417,894,811,230,1021,557,465,1096,817,759
"NM_001276687",0,0,0,0,0,0,0,0,0,1,0,0
"NR_039626",0,0,0,0,0,0,0,0,0,0,0,0
"NM_021186",0,0,6,0,0,2,0,0,0,0,0,0
"NR_015407",0,0,0,0,0,0,0,0,0,0,0,0
"NR_103776",0,0,0,0,1,0,0,0,0,0,0,0
"NR_046582",0,0,1,0,0,0,0,0,0,0,0,0
"NR_036695",0,0,1,2,0,1,0,0,1,1,0,1
"NR_036069",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000143",950,1346,1663,938,1631,366,1010,918,404,1257,1784,896
"NM_001821",361,264,1287,762,558,117,485,293,321,898,768,1119
"NM_014322",230,243,308,270,351,120,299,227,129,330,347,264
"NM_006027",307,251,498,293,461,78,511,264,115,367,554,455
"NM_130398",351,294,549,332,562,82,562,318,130,425,627,529
"NM_003686",295,232,488,275,441,75,487,251,112,345,535,432
"NM_001319224",312,262,498,282,495,72,502,294,116,358,549,456
"NM_001004343",0,0,0,0,0,0,0,0,0,0,1,0
"NR_029401",347,117,707,283,170,144,404,102,188,297,117,304
"NR_039824",7,0,5,3,5,1,4,1,8,9,1,9
"NM_001012970",0,0,0,0,0,0,0,0,4,0,0,0
"NM_001276348",0,0,0,0,0,0,0,0,4,0,0,0
"NM_001276349",0,0,0,0,0,0,0,0,4,0,0,0
"NR_123735",395,361,686,289,543,95,484,315,159,432,465,289
"NR_123736",384,355,662,292,530,92,462,307,155,417,444,275
"NM_001297746",373,341,660,283,514,89,449,292,149,413,435,270
"NM_016076",411,390,699,305,565,105,481,337,162,446,490,310
"NR_132782",6,4,113,14,4,0,1,8,2,12,0,1
"NR_111907",95,38,196,80,28,22,116,13,72,64,25,69
"NM_004501",8297,6493,16160,8532,7859,2448,9144,4684,3687,10753,6934,7633
"NM_031844",8476,6685,16334,8705,8071,2480,9347,4830,3770,10963,7149,7743
"NR_151721",56,0,172,46,0,41,58,0,35,48,0,89
"NR_040002",0,0,0,0,0,0,0,1,0,0,0,0
