Father_A,Father_B_1,Father_B_2,Father_C,Mother_A,Mother_B_1,Mother_B_2,Mother_C,D21_A,D21_B_1,D21_B_2,D21_C,T21_A,T21_B_1,T21_B_2,T21_C
NR_033709,407,214,461,773,287,156,208,431,342,193,189,1293,425,214,369,893
NM_152492,21,11,18,71,19,8,17,29,25,15,17,153,32,16,21,80
NM_001288583,26,8,38,68,46,21,40,47,19,13,9,133,61,34,41,83
NM_020710,459,240,488,1148,451,215,341,655,486,277,288,2020,613,329,583,1369
NM_014704,513,239,575,1409,594,317,480,801,543,333,281,2528,866,457,801,1517
NM_001282669,173,86,223,581,213,112,164,282,261,136,169,1021,304,158,271,582
NM_207356,158,76,158,483,167,84,130,210,155,89,75,1016,202,106,207,456
NR_024455,72,34,102,240,87,42,65,110,70,39,57,363,172,88,149,380
NR_040065,0,0,3,17,4,1,0,2,0,0,0,5,0,0,0,5
NR_027088,0,0,0,12,0,0,2,0,4,2,7,1,1,0,0,0
NR_147025,7,6,4,34,1,0,1,19,3,2,1,6,5,2,9,16
NM_001042478,29,17,21,110,10,6,9,32,16,9,7,151,41,26,40,85
NM_001291594,398,194,445,1024,404,202,300,538,421,234,241,1212,530,282,532,1375
NM_001199861,2743,1402,2977,8403,2988,1590,2158,3985,2154,1254,1230,10922,5028,2659,4808,10251
NM_015557,156,73,143,432,155,76,112,211,109,70,72,537,180,94,182,432
NM_000983,1097,537,1266,1528,1255,661,892,1119,1037,580,605,3071,1360,731,1310,1675
NM_207396,467,231,481,1117,408,206,318,796,385,226,231,1652,487,267,449,1272
NM_012405,426,186,486,1133,584,303,409,803,470,251,304,1461,580,288,548,1354
NR_103534,9,2,13,25,3,2,2,22,3,3,1,26,11,6,29,87
NM_207370,148,66,159,888,242,124,182,412,209,114,108,1359,353,195,333,1023
NM_007274,596,293,695,1697,955,516,699,1232,544,276,332,2292,1005,511,910,2962
NM_019089,13,6,10,41,15,9,10,19,1,1,4,54,21,7,17,63
NM_031475,21,10,33,106,30,17,31,31,21,12,18,118,31,14,29,95
NM_003790,13,7,4,23,6,2,7,13,9,3,5,27,23,11,22,30
NM_198681,123,58,151,390,128,69,95,193,95,51,63,431,186,91,163,489
NM_024654,746,381,841,1538,801,401,541,967,729,414,398,2644,850,467,843,1545
NM_138697,45,23,42,151,46,25,27,64,38,20,21,241,51,19,39,142
NM_001278647,431,206,405,1110,427,211,324,615,364,209,173,1970,578,293,569,1390
NM_014851,287,135,294,952,371,192,244,513,270,171,161,1619,425,230,406,1086
NM_153812,202,109,188,475,202,112,128,226,162,90,99,1035,198,108,202,588
NM_001195753,178,88,221,567,253,124,195,326,178,105,128,994,306,155,284,642
NM_138350,241,121,296,964,351,178,259,506,286,166,178,1663,499,250,447,968
NM_018198,1252,618,1334,2936,1505,777,1064,1713,1244,715,765,4654,1690,878,1692,3309
NR_104620,2,2,5,15,10,2,2,2,0,0,0,8,3,2,5,5
NR_146202,2102,1069,2307,3656,2181,1118,1564,2187,2129,1276,1227,6298,3155,1669,2998,3510
NM_001195563,1744,891,1934,2999,1756,885,1271,1770,1807,1092,1053,5348,2591,1357,2485,2799
NR_146199,12,6,12,15,8,5,7,1,7,5,7,9,12,4,13,15
NM_004781,154,72,194,510,245,135,182,265,228,128,145,1052,320,159,291,502
NM_001289864,296,153,346,605,505,258,394,321,312,166,162,1264,549,299,509,1099
NM_001289862,295,153,346,598,505,258,394,319,312,166,162,1261,549,299,509,1095
NM_021995,1,0,7,21,3,1,2,6,4,3,3,15,7,6,3,27
NM_001561,191,95,227,591,250,109,191,209,166,96,94,397,273,137,273,478
NM_001123377,653,344,689,1331,678,356,495,772,556,319,339,2171,794,400,793,1416
NM_007262,653,342,688,1337,681,358,497,773,555,318,339,2194,795,401,795,1425
NM_018948,35,17,18,112,73,34,67,127,31,16,13,176,49,29,47,158
NR_125998,2,0,4,2,0,0,0,4,2,1,3,11,3,2,5,2
NM_001080397,13,9,15,51,18,9,19,33,15,3,7,49,18,5,30,56
NM_001042681,11341,5612,12316,21983,11307,5906,8527,11890,9151,5153,5232,32505,14951,7840,14308,16428
NR_125999,253,132,253,553,316,153,199,285,210,124,130,779,352,183,297,428
NM_001353346,3186,1588,3534,7604,4491,2320,3419,4258,3515,1982,1950,15742,5162,2659,5140,9070
NM_001270500,13,3,28,66,17,12,15,21,11,8,11,109,29,20,20,64
NM_207420,27,15,26,51,24,18,17,21,20,11,9,68,22,9,21,72
NM_001328619,2303,1130,2535,2957,1267,628,933,1292,1898,1088,1115,3885,1883,964,1831,2668
NM_001135585,1924,939,2111,2333,983,490,726,970,1618,934,954,3236,1556,788,1523,2134
NM_024980,375,189,416,1303,403,218,317,512,514,307,290,2721,647,354,617,1134
NR_132742,1894,955,2020,4199,2354,1225,1785,2002,1483,833,790,4999,4068,2127,3768,4462
NR_132738,244,123,245,899,222,112,187,396,234,130,93,1099,559,298,504,833
NM_004285,693,362,735,1850,849,448,608,1138,949,570,532,3317,1008,512,936,2052
NM_025106,643,311,642,1841,1257,682,967,612,321,190,167,1746,1040,526,1005,1976
NR_104622,82,42,66,173,65,37,45,79,43,26,24,227,104,44,90,155
NM_032315,794,381,838,1710,915,472,631,1013,931,553,526,3613,990,508,991,2006
NM_001010866,132,64,138,511,213,111,173,289,179,102,104,771,226,113,266,744
NM_005026,4739,2358,5030,12295,7183,3717,5152,7442,4101,2321,2388,16516,7630,3960,7497,13633
NR_126367,853,424,875,1999,1399,723,1003,1330,706,395,418,2659,1231,654,1254,2187
NM_001350235,2577,1273,2681,6523,3636,1851,2530,3878,2089,1202,1203,8569,4189,2176,4031,7206
NM_001009566,2259,1121,2394,5539,2979,1570,2173,3347,1973,1126,1147,7669,3136,1603,2934,6469
NM_001012329,329,173,387,887,757,372,584,765,361,198,210,1371,768,411,783,1384
NM_001316975,199,92,228,477,226,111,169,252,181,96,99,757,266,139,249,398
NM_001297778,460,239,464,1137,560,291,396,662,535,297,263,1696,724,395,654,1086
NM_001297779,409,212,411,982,495,262,353,566,465,256,221,1501,643,351,578,933
NR_158969,116,64,113,292,123,71,80,119,130,73,68,322,166,96,175,289
NM_052960,23,16,17,67,17,11,15,42,25,11,14,124,16,8,22,67
NM_006048,1704,885,1856,3873,1921,1006,1468,1982,1728,981,1003,6293,2508,1273,2438,3565
NM_183416,508,261,572,1151,512,250,354,510,400,216,238,1395,777,402,668,1078
NM_015074,872,443,970,1916,793,397,579,834,610,339,369,2493,1293,654,1162,1766
NM_002631,298,152,302,531,390,198,308,461,331,201,196,886,388,216,349,741
NM_199294,62,36,56,164,59,29,56,99,82,51,49,278,60,32,68,204
NR_036462,61,36,55,159,58,28,52,97,82,51,49,278,56,30,64,202
NM_004401,539,273,607,1026,648,324,530,656,583,318,360,1896,784,387,701,1121
NM_004565,1906,963,2051,3893,2246,1171,1610,2516,1686,952,980,6091,2499,1280,2384,4128
NM_001079843,414,212,445,1056,486,228,359,731,202,121,125,976,376,196,427,1288
NM_001170754,50,26,72,146,48,28,32,57,45,27,46,302,34,19,40,203
NM_007375,1062,544,1175,2107,1317,676,951,1158,1108,637,673,4008,1285,691,1232,2043
NM_006610,683,364,717,1230,724,399,578,967,580,322,344,2317,785,430,776,1659
NM_003132,128,55,136,239,112,57,76,128,140,80,77,480,133,59,130,371
NM_002685,697,370,711,1583,753,369,612,916,700,385,400,2614,979,521,946,1526
NM_004958,1556,767,1730,2997,1580,813,1227,2020,1484,851,836,4656,1935,1005,1977,3243
NR_046600,70,33,71,139,64,31,51,65,67,39,32,185,69,34,85,124
NM_021146,50,21,52,127,65,35,49,126,56,29,42,167,93,48,85,157
NM_013319,451,245,455,765,422,234,278,468,469,255,255,1358,475,255,399,840
NM_020780,13,9,21,86,27,12,15,34,8,5,7,67,41,21,48,57
NR_104624,5,3,3,8,2,1,2,0,4,1,1,9,3,0,4,3
NM_012168,4,1,3,6,5,2,3,10,5,3,2,11,7,5,10,11
NM_001304791,63,29,104,278,88,46,72,172,87,51,50,423,173,83,167,398
NM_018438,300,159,324,724,291,148,204,447,229,116,148,1096,363,181,392,1095
NM_001127325,135,62,177,567,138,70,107,279,128,74,74,902,267,152,255,718
NM_198545,33,11,38,67,29,20,26,26,32,20,17,171,49,24,56,102
NM_001040195,87,51,99,279,127,62,94,173,84,56,48,337,172,97,148,380
NM_020350,87,51,99,277,126,61,94,173,84,56,48,337,171,97,146,380
NM_001010881,241,123,239,721,248,133,182,435,266,139,142,1145,277,158,289,797
NM_005957,645,311,689,2069,793,382,521,962,774,422,424,3325,774,408,781,1894
NM_001256959,1158,578,1226,2792,1134,599,847,1387,1129,632,663,4086,1465,789,1361,2758
NM_001286,1158,578,1226,2788,1134,599,847,1387,1129,632,663,4078,1464,788,1360,2754
NR_037806,203,98,194,594,244,129,178,280,230,133,127,1052,321,164,305,565
NM_138346,198,96,233,644,154,78,116,237,195,112,122,1098,244,131,291,693
NM_000302,689,344,701,1434,718,355,515,869,705,409,352,2119,1140,599,1003,1941
