Father_A,Father_B_1,Father_B_2,Father_C,Mother_A,Mother_B_1,Mother_B_2,Mother_C,D21_A,D21_B_1,D21_B_2,D21_C,T21_A,T21_B_1,T21_B_2,T21_C
NR_146529,2,2,0,10,1,1,0,0,0,0,0,5,3,1,1,1
NR_026825,19,14,18,100,12,7,11,58,127,77,45,617,17,10,15,44
NM_001330190,18,13,11,60,22,10,17,88,160,99,68,956,5,5,4,49
NR_158985,16,10,22,90,30,18,17,73,107,57,68,475,24,12,24,32
NR_120478,7,6,7,20,10,4,6,20,14,9,9,131,2,0,5,5
NR_146530,12,5,9,6,9,7,5,11,12,5,7,23,4,4,1,8
NM_032338,465,229,519,1183,605,323,473,748,522,305,299,2470,764,402,689,1155
NM_016056,1149,580,1225,2641,1195,611,907,1408,1364,817,766,4988,1514,822,1418,2173
NM_001142523,584,288,670,1253,736,387,518,615,429,264,215,1281,454,251,392,311
NM_001370285,1362,699,1524,2833,733,394,550,1002,1016,589,571,4226,1353,687,1331,1837
NR_135080,1362,699,1524,2833,733,394,550,998,1012,587,570,4226,1350,684,1331,1836
NM_001366724,824,388,901,2289,495,251,366,686,662,376,348,2840,696,374,675,1256
NR_120490,0,0,1,13,2,1,1,9,7,2,7,24,3,3,2,10
NM_001329674,1712,879,1829,3840,1896,980,1482,2113,1883,1067,1079,7191,2297,1203,2148,2931
NR_103861,26,17,26,55,12,4,16,22,10,3,5,75,22,12,31,47
NM_003583,461,227,514,1207,656,357,487,773,494,297,298,2179,628,347,653,1463
NR_110063,25,12,24,66,21,9,21,26,26,14,11,84,35,20,42,88
NR_120456,7,4,11,22,5,3,9,10,2,1,2,28,4,4,10,34
NR_104125,199,92,231,246,162,80,115,214,109,63,66,205,313,184,275,419
NM_000619,17,9,15,14,14,8,8,12,3,1,7,14,22,13,12,8
NM_018402,55,31,55,98,24,14,29,44,43,26,25,82,75,41,79,148
NM_020525,0,0,3,7,0,0,0,3,0,0,0,9,4,2,9,9
NM_001354974,237,105,271,551,225,117,143,317,222,121,127,888,329,167,399,781
NM_001205029,79,30,92,176,63,32,51,86,75,41,49,443,115,55,138,421
NR_120458,102,48,86,120,51,30,40,42,67,44,37,198,432,217,453,1073
NM_001251921,3712,1891,4204,8033,3821,2024,2755,3897,3507,2017,2093,14144,6213,3267,5956,7606
NR_038930,201,88,223,356,157,84,138,182,226,131,117,598,218,129,216,281
NM_001330192,761,372,817,1597,821,433,657,834,903,514,541,2955,1078,585,948,1649
NM_001354998,235,108,252,488,299,157,232,318,274,166,153,995,467,269,433,581
NM_001145339,6394,3216,6913,13553,6624,3507,4853,7455,5646,3256,3423,22853,11438,6061,10696,13096
NM_001367990,6309,3178,6812,13184,6523,3454,4775,7200,5542,3192,3373,22376,11239,5957,10498,12580
NM_001145337,6815,3415,7430,14659,7245,3808,5302,8155,5997,3442,3657,25134,12098,6414,11325,14001
NM_001874,302,146,366,621,596,329,383,295,298,185,147,812,293,172,289,384
NM_001300947,1328,669,1479,2736,1243,704,895,1440,1756,991,948,5769,1782,957,1711,1954
NM_000239,2,2,0,10,3,1,1,8,1,0,2,22,1,1,4,6
NM_001300950,476,228,564,1048,537,290,384,694,595,343,338,2253,643,350,593,1045
NM_001278355,1936,991,2037,3588,1925,1065,1409,2260,1664,958,1018,6504,2350,1268,2357,2975
NM_006431,580,287,690,926,606,308,462,636,572,325,387,2290,626,322,643,945
NM_001282614,21,10,14,76,11,5,8,21,5,2,2,48,11,5,12,39
NM_001282615,11,7,7,28,0,0,0,3,1,1,0,14,2,1,6,17
NR_110072,32,9,37,48,32,16,22,30,8,4,16,58,13,8,16,77
NM_175624,754,389,781,1565,723,404,605,1030,580,314,340,2399,788,412,819,1642
NM_001024647,451,231,478,850,407,237,349,581,377,198,219,1307,512,261,491,894
NM_182530,59,29,95,213,80,41,55,84,60,29,47,278,97,58,86,176
NR_120460,470,250,485,1169,459,217,331,526,577,337,344,2226,512,272,590,955
NM_001199302,2712,1402,2988,5411,3050,1562,2244,3201,2911,1735,1676,10132,3844,2056,3687,4095
NM_014515,2693,1393,2959,5398,3028,1554,2222,3152,2883,1713,1669,10101,3841,2054,3688,4063
NM_014505,105,49,144,244,167,97,101,91,142,81,80,628,183,98,174,257
NM_001109754,48,25,75,212,41,17,33,49,714,406,448,2365,265,144,303,1613
NM_001207016,13,5,25,105,22,9,23,25,20,14,14,112,18,6,23,39
NM_002849,66,31,66,260,92,44,71,93,58,38,25,273,67,24,73,156
NM_004616,6,5,3,30,16,7,15,7,1,1,4,38,7,4,9,17
NR_110596,21,8,13,127,24,13,22,33,20,10,13,103,21,12,24,52
NM_144982,2640,1371,2936,5172,2713,1395,2063,2768,2604,1524,1449,9517,3711,1981,3632,3953
NM_031435,217,109,276,713,256,135,169,345,255,150,158,1570,410,217,415,641
NM_018279,225,112,184,465,244,143,175,307,263,159,168,829,362,204,341,530
NM_014999,2130,1103,2278,5296,2023,1036,1535,2660,1909,1103,1170,8994,3261,1784,3170,3510
NM_001146213,1287,647,1502,2992,1240,675,991,1351,1390,819,823,6184,1678,866,1653,2356
NM_173353,7,4,12,66,19,11,8,16,3,3,0,38,5,5,12,34
NR_026837,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,3
NM_013381,79,39,89,345,89,41,80,81,59,34,33,257,95,57,94,137
NR_110130,15,7,21,75,27,13,25,26,14,11,10,106,27,9,27,35
NR_038300,47,23,46,140,51,30,42,42,25,10,25,181,42,24,40,114
NM_001136262,313,157,316,829,301,161,239,377,325,188,178,2060,461,244,487,761
NM_001260499,11,4,20,71,15,5,12,17,4,2,3,63,28,17,22,19
NR_149000,0,0,0,9,5,5,0,3,2,1,1,17,1,0,2,1
NR_149161,463,243,591,1377,711,382,507,527,407,235,249,1819,566,308,526,610
NM_001304964,211,116,264,568,321,173,217,240,189,114,98,598,220,119,200,239
NM_152436,59,24,81,154,66,35,48,54,64,39,48,274,71,38,66,106
NM_001270396,64,28,84,165,83,44,56,56,66,41,48,292,81,44,75,124
NM_006851,1145,577,1269,2278,1134,604,821,1325,1247,741,730,3901,1446,800,1412,2075
NM_007043,1039,531,1149,1814,1018,541,716,1001,1049,632,652,2973,1180,649,1176,1565
NM_007350,73,33,57,151,107,62,56,76,42,26,20,349,46,23,48,205
NM_004537,3809,1911,4200,6048,4552,2389,3293,4364,3927,2195,2295,10388,4553,2387,4327,5613
NR_146531,33,17,40,76,18,11,24,43,32,20,21,88,35,19,40,43
NM_024685,154,91,135,207,147,79,84,138,104,55,74,374,157,83,142,250
NM_020841,2094,1029,2403,4654,2397,1258,1951,2842,2251,1275,1313,8335,2750,1437,2710,3568
NM_015336,1176,610,1346,2444,1263,688,939,1472,1232,764,735,4450,1491,830,1366,1861
NM_001300965,268,126,290,612,329,181,229,410,240,144,161,873,293,151,318,537
NM_203394,1342,665,1305,3736,1014,514,684,1711,1930,1115,1104,8957,1282,656,1227,3841
NM_001024383,78,42,89,393,97,51,72,107,69,35,44,297,113,58,94,226
NR_135021,3,1,7,19,4,2,0,2,4,2,6,27,15,6,9,27
NM_001135805,72,41,97,438,82,40,70,111,50,28,20,335,110,54,111,204
NM_001354732,1378,709,1615,2782,1358,719,976,1323,1462,876,871,5332,1455,749,1426,2198
NM_002583,1382,710,1619,2796,1367,722,988,1331,1464,877,873,5357,1457,750,1434,2206
NM_001354733,1072,539,1267,2268,1084,583,791,1065,1116,659,672,4296,1167,595,1152,1887
NM_001244990,3916,1982,4438,7665,4542,2366,3390,4559,3862,2172,2296,12290,5326,2778,5367,6175
NM_002480,3897,1971,4421,7651,4521,2357,3376,4548,3859,2171,2294,12275,5292,2759,5341,6142
NR_146533,165,90,151,283,160,82,128,227,114,58,78,615,305,162,293,339
NM_001368062,160,90,203,505,152,95,112,217,173,89,116,534,194,96,158,297
NM_173591,80,45,86,278,66,40,45,127,69,35,39,303,100,50,74,162
NM_001145026,77,39,47,246,59,38,42,131,54,34,33,336,110,55,84,125
NR_120468,8,4,18,16,2,1,1,0,13,11,5,16,11,5,6,6
NM_004664,1864,973,2108,3866,1788,907,1295,1341,826,460,489,2383,2285,1217,2314,2027
NM_024560,16,4,16,129,45,21,18,61,49,24,21,100,23,12,33,67
NM_003625,72,35,82,306,59,36,45,100,62,40,46,295,87,41,91,169
NR_120491,3,2,6,8,0,0,1,2,7,4,5,2,0,0,1,6
NR_110089,9,5,11,63,19,10,10,12,7,4,6,46,16,10,11,29
NR_033192,245,119,257,568,315,144,235,287,226,130,135,1172,331,181,278,373
NR_144941,542,296,561,1017,632,338,454,608,563,331,309,1647,581,320,569,926
NM_152588,2301,1155,2624,4292,2307,1236,1676,2622,2082,1212,1104,6204,3140,1647,2973,4563
NM_001320322,1858,932,2121,3339,1824,982,1328,1998,1696,993,893,4937,2600,1361,2473,3731
NM_001146335,0,0,3,23,10,8,4,2,4,2,3,34,3,3,2,8
NM_018057,0,0,3,16,5,3,2,2,0,0,0,25,2,2,1,1
NM_001100917,5,3,5,15,1,0,1,5,0,0,0,18,2,2,2,6
NM_001079910,48,23,56,197,43,18,33,55,29,14,16,180,52,29,59,95
NM_006982,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0
NM_005447,2,1,9,34,2,0,0,4,0,0,0,24,3,2,1,7
NM_006183,2,2,1,4,0,0,0,1,0,0,0,0,0,0,0,3
NM_001351285,201,99,244,759,224,127,160,263,148,83,69,886,289,147,277,488
NR_147093,55,23,55,225,44,23,31,69,30,16,14,236,80,41,69,88
NR_149056,10,7,6,35,2,0,6,3,4,4,3,20,6,6,9,9
NM_152589,15,8,9,42,10,3,7,16,7,5,3,52,18,5,13,19
NM_001009894,336,167,351,695,330,189,263,363,301,172,200,1373,435,251,468,585
NM_025114,790,421,997,1736,804,435,613,923,833,479,484,3154,1094,576,1041,1302
NM_001366580,540,284,607,1141,356,163,268,599,504,294,302,1841,715,372,650,816
NM_003994,11,5,13,59,45,24,34,25,8,3,11,69,19,12,12,37
NR_038385,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0
NM_022652,15,8,12,30,7,6,5,5,2,0,1,12,1,1,7,17
NM_172240,867,456,929,1648,796,425,620,776,920,531,500,2764,1065,582,1017,1820
NM_001199782,133,81,139,322,160,88,103,175,145,83,85,660,198,102,202,479
NR_146294,129,64,148,273,123,69,91,100,129,74,84,479,162,78,142,269
NM_001682,5161,2620,5583,8820,4152,2208,3006,3969,4794,2787,2791,17111,7634,3972,7576,8791
NR_135018,9,5,8,13,5,3,5,3,1,0,2,7,20,9,14,17
NR_038868,6,3,9,34,21,16,19,16,8,6,6,25,21,13,18,32
NM_004950,3,3,5,23,2,1,1,6,5,3,7,22,8,4,3,6
NM_007035,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
NM_002345,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
NM_001920,8,2,8,22,10,6,7,14,3,2,3,25,4,3,1,27
NM_133503,8,2,8,21,10,6,7,13,3,2,3,25,4,3,1,27
NR_046160,7605,3752,8364,17201,8651,4524,6357,10492,6374,3607,3655,21649,9131,4767,8877,13926
NM_001731,3028,1521,3368,8741,3650,1969,2640,4915,2934,1665,1675,15262,5065,2709,4917,8449
NR_135037,596,315,654,1693,739,400,535,842,499,273,308,2865,1092,580,1108,1563
NM_001025232,203,95,263,402,58,31,42,52,105,56,53,327,229,128,207,418
NR_144319,422,204,484,995,157,92,107,148,229,131,131,832,520,271,491,1079
NR_027933,259,126,309,563,56,25,47,52,145,84,81,475,299,161,296,700
NR_144532,1165,599,1277,3085,1091,575,832,1551,774,440,466,3155,1208,647,1258,2524
NM_001037671,67,34,76,135,51,27,35,66,36,22,20,142,54,31,47,132
NM_001004330,473,214,520,966,478,253,385,559,482,275,268,1566,612,323,590,1173
NM_003566,3257,1623,3644,6806,3211,1677,2417,3256,3289,1902,1783,12674,5068,2637,4829,6680
NR_040096,2124,1067,2269,3345,2011,1018,1461,1336,1768,1045,996,5432,2238,1167,2179,3501
NR_120492,11,6,8,21,21,11,19,16,10,4,5,9,10,6,12,8
NM_019094,2558,1306,2888,6530,3335,1745,2504,4158,3013,1671,1783,13522,4332,2247,4231,6990
NM_003348,1896,962,2132,4228,2553,1345,1900,2624,2283,1287,1308,7917,2823,1496,2740,4403
NR_038161,955,466,1085,2245,1151,625,888,1479,1084,628,624,3667,1334,706,1287,1954
NR_038263,58,29,62,217,102,51,90,95,83,45,49,327,116,65,129,241
NM_003877,130,64,119,391,234,138,155,251,97,56,56,662,272,150,277,599
NR_135147,788,392,857,1645,784,429,533,785,960,556,497,2861,1023,533,1002,1526
NM_001320101,398,204,434,805,360,204,235,369,504,286,272,1351,493,257,519,715
NM_001330126,308,163,335,598,239,142,156,209,391,215,222,999,347,188,387,462
NR_110092,118,65,130,199,71,41,53,74,146,64,85,389,127,65,154,137
NR_135017,24,12,30,70,20,9,15,30,22,12,15,82,21,13,21,68
NM_005761,4281,2187,4686,9116,4423,2307,3230,6404,4699,2700,2536,16442,7748,4092,7137,11600
NM_001346457,2455,1251,2694,4306,2325,1226,1891,2515,2395,1401,1344,7108,3541,1860,3502,3768
NM_001368037,2417,1227,2672,4240,2283,1201,1863,2528,2355,1385,1321,7026,3516,1840,3482,3821
NM_020698,2554,1262,2721,5443,2769,1434,2169,3296,2042,1158,1122,6485,3144,1628,3071,4989
NM_001258338,450,240,442,918,569,322,443,727,578,362,297,1933,721,378,651,1000
NM_018838,450,240,442,918,569,322,443,727,578,362,297,1933,721,378,651,1000
NM_003297,689,345,789,1499,779,405,538,978,761,428,446,3128,904,476,955,1531
NM_018351,791,403,915,2507,2167,1106,1716,2220,1470,840,786,5976,934,503,829,2022
NR_147926,2237,1078,2442,4793,2764,1471,2001,2977,2974,1743,1619,11477,3358,1766,3285,3819
NM_001352113,2239,1079,2446,4795,2762,1470,2000,2977,2978,1746,1620,11479,3358,1766,3285,3819
NM_001330246,1340,703,1443,2416,1539,830,1084,1614,1340,781,728,5088,1728,937,1750,2332
NM_032147,155,71,172,330,210,110,148,214,139,83,96,643,159,86,162,306
NR_077225,11,9,6,38,19,8,7,9,4,1,1,61,2,2,5,26
NM_001329701,97,50,109,288,113,50,100,124,76,40,47,344,115,56,105,154
NR_135014,35,20,30,107,39,22,24,44,19,10,12,125,26,12,22,103
NR_135016,5,1,9,21,6,4,1,11,3,2,3,34,3,0,2,13
NM_003095,249,125,248,403,232,128,177,233,268,147,163,1007,240,123,220,401
NM_182496,612,303,680,1498,738,367,499,843,547,335,334,2138,709,385,678,1459
NM_152435,30,16,25,63,15,8,14,31,15,9,11,111,30,17,55,66
NM_001258333,17,9,24,55,39,21,27,26,41,26,15,64,65,28,54,70
NM_001256643,318,156,356,708,399,208,251,344,326,201,200,1184,497,256,500,572
NM_005230,1436,694,1592,3300,1533,841,1109,1979,1174,670,662,4185,2247,1184,2263,3372
NM_002595,3205,1626,3587,6420,2935,1536,2222,3530,2965,1647,1722,9881,4785,2517,4735,4986
NM_001367885,566,303,611,1421,757,416,573,688,401,229,241,1183,1511,841,1419,1286
NM_152905,908,448,1016,1841,944,492,769,1184,903,520,497,3386,1181,615,1174,1366
NM_001135175,907,448,1012,1831,940,489,764,1176,898,517,493,3380,1176,610,1163,1355
NR_152618,8,3,11,69,12,5,6,27,17,11,3,176,53,28,49,209
NR_024037,7,3,8,43,6,1,2,22,9,6,3,110,45,22,42,148
NR_077241,37,17,36,74,55,24,35,21,26,12,10,75,31,16,23,32
NR_077240,0,0,0,20,2,2,1,3,3,2,0,24,3,1,0,8
NR_033801,2,1,3,2,0,0,0,1,2,1,1,5,4,3,0,6
NR_038383,119,62,118,180,144,78,104,170,108,62,61,308,184,92,186,257
NR_027157,160,83,199,457,236,119,170,366,188,110,128,683,335,183,310,595
NM_003276,696,337,744,1591,825,420,689,1015,892,508,513,3423,822,417,827,1803
NM_001307975,1603,797,1752,3302,1730,899,1387,1980,1979,1163,1137,6819,1833,984,1813,3246
NM_005888,675,346,729,1338,722,389,532,633,686,386,375,2287,843,443,861,1246
NM_002635,1054,525,1185,2349,1212,644,875,1219,1170,676,659,4054,1364,702,1371,2236
NM_201613,566,278,657,1781,637,342,499,771,703,405,380,3637,1174,569,1119,1292
NM_001160,1105,578,1231,2677,1162,620,834,1345,1119,653,632,4714,1737,940,1733,2187
NM_152788,475,232,547,1734,462,229,385,669,430,239,253,1734,652,340,683,1557
NR_110095,2,1,5,3,0,0,0,1,0,0,0,16,2,2,4,1
NM_015054,1627,792,1734,3221,1478,767,1138,1839,1300,730,798,5287,1924,1026,1942,2741
NR_036632,288,124,306,662,246,135,165,368,294,168,179,1269,277,153,311,771
NM_022496,382,194,360,812,302,155,216,340,366,206,226,1628,530,294,463,709
NR_135073,584,295,586,1294,567,289,433,646,615,345,388,2321,835,442,749,1194
NM_001330256,1191,617,1310,2557,1204,591,940,1407,1104,620,681,3675,1687,906,1690,1949
NM_017988,1190,616,1307,2553,1204,591,940,1401,1104,620,681,3675,1686,905,1689,1945
NM_139319,11,5,14,104,26,15,17,19,11,4,10,102,14,8,16,42
NM_001206978,32,17,30,160,18,11,17,38,15,7,15,133,33,16,23,69
NM_001303130,186,93,206,594,155,63,135,215,200,119,132,1060,218,109,230,486
NM_014503,996,505,1051,1872,926,476,762,1182,1114,642,616,3559,1186,646,1210,1912
NM_001177,350,169,435,821,296,155,227,327,391,229,200,1699,534,279,510,608
NM_001301068,350,169,435,823,296,155,227,327,391,229,200,1699,534,279,510,608
NM_152323,23,8,21,45,34,17,36,21,11,8,4,79,40,19,37,31
NM_206821,14,4,20,95,15,5,22,26,11,9,8,109,26,11,22,59
NM_002465,14,4,20,95,15,5,22,26,11,9,8,109,26,11,22,59
NM_020244,196,91,191,394,244,136,173,224,165,101,93,1037,310,152,303,449
NM_001177948,74,35,102,182,148,77,103,161,94,53,70,364,124,70,119,194
NM_024312,2211,1072,2360,4057,2152,1163,1610,2065,1463,830,853,4777,3504,1864,3393,3437
NM_018370,3656,1848,4180,7061,3185,1675,2356,3107,2476,1442,1536,7523,4552,2401,4448,6098
NM_001301107,5126,2654,5736,10215,5194,2717,3888,4301,4306,2488,2453,11851,5331,2853,4847,4660
NM_024057,1631,838,1722,3714,1318,708,1019,1637,1386,808,849,4668,1648,915,1635,2082
NM_001319996,397,196,397,859,397,211,281,486,437,241,243,1541,494,246,457,779
NM_001319995,570,279,603,1226,528,272,400,704,619,336,355,2079,740,377,706,1089
NM_000618,653,335,728,973,415,210,293,477,642,378,367,1723,1151,575,1087,1084
NR_033855,9,5,8,19,1,1,3,1,10,6,3,15,10,6,10,23
NM_001354304,66,28,71,241,44,22,34,80,78,42,36,568,138,71,130,402
NR_126333,3,2,1,12,1,1,1,13,4,3,1,20,6,5,5,21
NR_103526,272,140,290,580,198,104,174,155,252,157,151,931,266,135,277,809
NM_001099336,233,114,253,474,158,83,137,125,194,120,122,783,224,110,231,604
NR_110103,7,4,4,39,11,8,8,4,5,4,1,27,8,4,7,16
NM_017564,114,54,127,347,157,81,128,192,97,53,71,387,153,79,150,341
NM_001031701,492,239,525,1057,739,380,597,608,442,264,242,1457,558,271,571,1167
NR_027249,682,365,851,1547,782,412,585,1056,602,335,341,2009,825,468,826,1383
NM_003299,2927,1536,3342,3926,2327,1228,1800,1818,2850,1662,1589,6443,3734,1922,3629,3417
NM_001135570,913,440,968,1418,597,309,490,844,576,327,352,2006,896,467,822,1380
NM_001363612,1093,542,1171,2050,1201,657,894,1161,1034,592,569,3409,1406,747,1365,1852
NM_003211,1093,542,1171,2048,1201,657,894,1159,1034,592,569,3407,1406,747,1365,1848
NM_031302,783,391,841,1782,914,487,676,930,758,462,482,2887,1053,551,1077,1690
NM_013320,525,270,591,1147,521,261,427,613,581,344,327,2137,692,363,706,832
NM_006166,406,212,489,846,507,254,403,499,535,323,310,1688,561,310,584,835
NM_001093771,1945,1011,2292,3937,2115,1123,1642,2331,1906,1110,1131,6630,2339,1239,2207,3696
NM_018413,4445,2235,4758,6130,7461,3978,5438,7533,3962,2249,2288,9573,8914,4654,8606,10333
NM_001352169,2063,1026,2284,4499,2658,1405,2070,2813,1759,1005,1041,5961,3194,1689,3053,3802
NM_152318,312,165,325,740,442,228,339,554,352,210,208,1241,459,241,427,722
NR_027752,329,166,387,762,516,271,391,753,418,230,284,1090,446,223,438,898
NR_121211,29,15,51,91,29,11,24,65,33,17,13,119,83,53,92,91
NM_001293640,2106,1098,2387,4213,2043,1124,1460,2374,1994,1154,1113,7160,2608,1380,2559,3274
NM_001251904,1526,778,1676,3780,1763,926,1353,2454,1582,933,894,6270,1888,1008,1821,3763
NM_018171,1526,778,1676,3778,1763,926,1353,2453,1582,933,894,6270,1888,1008,1821,3763
NR_131986,178,82,197,264,93,49,81,88,123,68,69,463,176,92,179,420
NM_001145199,572,287,621,1232,596,314,435,681,714,429,409,2609,690,353,614,1349
NR_110109,3,2,5,23,0,0,0,2,2,2,1,12,3,2,3,2
NM_014840,2,2,4,44,5,3,4,8,3,2,2,60,7,4,15,21
NM_006825,119,51,117,241,146,83,106,101,93,57,63,344,194,102,188,255
NM_001286262,252,121,319,795,206,107,142,295,396,237,216,1923,317,154,274,607
NM_018082,451,220,493,786,376,202,326,555,389,214,232,1175,439,223,375,755
NR_040246,332,159,375,753,349,178,262,454,333,183,201,1045,496,275,494,875
NM_213594,175,87,215,474,193,98,131,243,160,82,107,641,284,160,289,575
NM_001206691,174,87,215,470,193,98,131,240,158,81,103,638,280,158,287,573
NR_038912,0,0,3,1,1,0,1,8,1,0,1,8,2,1,0,4
NR_147132,1074,519,1146,2263,1056,553,771,1452,1043,601,582,3927,1364,727,1332,2340
NM_001319664,700,322,830,1534,595,301,486,554,744,443,414,3134,1013,536,968,1011
NM_152261,699,322,828,1527,595,301,483,550,742,442,414,3129,1011,536,967,1008
NM_001033050,560,277,573,1477,494,258,343,660,613,352,375,2424,842,454,753,1037
NM_025198,560,275,568,1473,494,258,343,659,613,352,375,2429,840,453,749,1039
NM_004075,304,155,333,618,88,49,74,318,172,104,96,598,191,104,188,317
NM_001018072,63,28,77,302,60,26,49,63,40,22,17,360,95,48,84,166
NM_001317963,519,281,593,1216,609,311,464,737,611,354,361,2159,798,399,738,1148
NM_012406,792,406,881,1929,701,360,552,1153,840,473,466,3450,954,481,942,2023
NR_120474,572,282,641,1306,500,258,406,754,624,358,344,2339,679,343,634,1266
NM_014653,10,8,8,59,12,6,8,11,25,15,9,47,12,6,6,14
NM_001142345,818,374,897,1924,2105,1083,1575,1897,540,286,340,1525,1455,773,1476,2759
NM_001142343,1122,521,1216,2563,2907,1489,2147,2691,812,441,482,2321,1982,1058,2011,3672
NR_120483,2,1,2,18,3,2,4,3,1,1,0,1,5,2,15,5
NM_007076,512,245,615,1511,622,341,462,988,571,307,338,1999,865,440,878,2123
NM_014706,1319,667,1495,2666,1311,669,951,1637,1401,821,753,4404,1929,1025,1905,2800
NM_213595,683,340,872,1951,625,300,409,763,625,379,340,2859,1065,576,992,1685
NM_181724,5,2,11,21,3,1,1,5,8,6,1,39,13,4,14,19
NM_003006,277,131,312,606,175,85,127,239,257,144,161,1109,495,260,444,679
NM_014325,2499,1260,2863,5912,2543,1359,1912,2583,2063,1189,1121,7131,4063,2102,3908,5040
NM_018984,2255,1125,2432,5797,4061,2137,2926,3798,2249,1274,1288,8853,5207,2640,4917,6592
NM_001161331,1087,553,1160,2613,1910,976,1393,1822,1001,559,568,3786,2528,1275,2370,3148
NM_001917,4,2,11,38,5,2,4,10,7,6,7,46,8,3,14,32
NM_018711,41,23,42,195,31,20,24,80,47,28,30,251,69,37,69,153
NM_001301175,511,242,577,1451,540,276,351,665,483,284,261,2646,724,377,662,1434
NM_032663,353,163,414,1050,361,180,243,531,381,223,200,1987,513,272,468,1038
NM_001001655,107,49,134,256,118,64,64,126,136,85,61,406,155,91,148,332
NM_001145374,107,49,134,256,118,64,64,126,136,85,61,406,154,91,148,332
NM_080911,167,86,191,308,163,82,124,231,219,119,115,622,202,113,180,451
NM_001093,97,44,120,357,233,118,147,173,162,93,125,1209,140,71,166,573
NM_213596,3,2,7,18,4,2,1,8,5,2,1,36,1,1,4,24
NR_120462,0,0,0,11,2,2,2,6,5,2,2,40,4,2,3,12
NM_001101421,179,92,208,431,231,142,141,240,183,96,78,599,191,103,178,415
NM_001317395,503,273,575,1245,578,308,442,636,534,304,316,2097,583,303,575,1216
NM_001270450,124,61,140,328,111,61,90,157,92,53,57,633,234,122,205,370
NM_183415,517,250,548,1387,674,358,494,709,484,307,276,2333,972,511,866,1544
NM_052845,492,234,517,1473,549,273,426,808,554,336,297,2433,731,390,690,1701
NM_001114185,500,247,536,1313,618,294,461,894,477,277,240,1988,867,447,829,2119
NM_032829,7,2,8,35,14,9,9,12,14,8,10,51,15,8,14,78
NR_026661,4,2,6,33,5,3,5,11,9,5,6,38,12,6,11,61
NM_021625,9,8,8,81,14,8,13,25,7,3,8,128,14,7,22,50
NM_016433,204,93,220,468,198,105,155,298,206,117,107,906,316,150,310,605
NM_001143852,337,164,340,558,323,172,240,413,292,172,169,911,377,195,353,744
NM_001135213,1434,707,1470,3373,1967,1044,1507,2510,1645,932,972,5874,1986,1068,1864,3810
NM_033121,1460,736,1655,3536,2021,1077,1494,2300,1922,1132,1119,8039,1841,968,1831,4035
NR_148514,294,152,299,667,342,181,224,434,288,164,215,1249,393,196,375,730
NM_031473,264,137,292,608,268,138,184,390,188,112,117,1119,290,161,330,628
NM_170665,3198,1579,3509,5964,2873,1519,2129,3694,3134,1825,1760,10431,3670,1941,3592,6484
NM_016238,830,398,925,1580,872,463,669,938,835,449,484,2603,1033,544,1035,1852
NM_001278556,663,333,733,1355,706,356,530,756,605,330,402,2785,933,462,913,1282
NM_001287222,662,332,732,1352,707,356,530,764,605,330,393,2789,927,459,911,1288
NM_001164372,150,76,169,425,178,88,136,238,178,93,94,750,230,135,244,410
NM_013300,573,274,636,1897,936,492,688,1142,741,419,421,3843,1034,535,1009,1754
NM_016226,464,218,519,1135,691,341,503,732,529,302,301,2632,791,415,801,943
NM_001282151,457,213,519,1098,687,340,496,714,522,297,293,2526,768,402,775,907
NM_001286534,662,339,701,1343,948,516,705,1263,557,299,330,2586,936,491,958,1738
NM_139283,1549,767,1632,3990,2237,1164,1737,3181,1850,1062,1084,8610,2874,1443,2799,4726
NM_001319682,119,54,122,344,161,85,103,268,193,121,102,761,212,113,219,363
NM_001040107,2716,1356,2941,7694,4819,2513,3461,6112,3429,2012,1852,14952,5553,2877,5140,10023
NM_002710,1059,510,1099,2569,1288,709,993,1522,1180,658,696,5013,1598,859,1504,2339
NM_001286243,36,19,40,129,44,22,33,53,31,18,27,243,36,19,52,126
NM_000432,72,32,60,145,50,24,24,87,84,44,48,160,31,15,35,71
NR_135001,3,2,2,6,4,1,5,6,7,5,5,12,7,3,13,13
NM_015267,67,29,81,383,123,64,87,621,208,124,169,1038,123,66,120,745
NM_144671,24,13,24,81,19,8,10,76,45,25,15,224,26,12,35,115
NM_005475,3402,1750,3489,5768,3394,1786,2439,3636,2661,1499,1506,7242,3671,1927,3474,6396
NR_132311,3284,1665,3465,6990,3836,2037,2853,3967,3092,1790,1827,12279,3951,2068,3979,6008
NM_006768,723,354,872,1585,716,381,567,901,753,418,450,2899,824,407,845,1412
NM_001136538,635,333,683,1604,694,363,490,816,680,401,416,2613,1115,593,1115,1710
NM_000690,168,85,176,489,528,286,345,517,165,90,94,788,303,160,282,420
NR_015404,129,65,155,337,153,72,122,192,153,92,71,693,222,121,256,261
NM_139078,1069,551,1121,2013,1085,568,801,1262,968,571,595,3867,1345,718,1348,2085
NR_122119,357,176,372,896,256,127,187,377,363,189,185,1659,427,220,447,1023
NM_001193531,357,176,372,896,256,127,187,377,363,189,185,1658,427,220,446,1023
