Eli__repA_counts.bed,Eli__repB_counts.bed,Eli__repBss_counts.bed,Eli__repC_counts.bed,Elizabeth__repA_counts.bed,Elizabeth__repB_counts.bed,Elizabeth__repBss_counts.bed,Elizabeth__repC_counts.bed,Eric__repA_counts.bed,Eric__repB_counts.bed,Eric__repBss_counts.bed,Eric__repC_counts.bed,Ethan__repA_counts.bed,Ethan__repB_counts.bed,Ethan__repBss_counts.bed,Ethan__repC_counts.bed
NM_001288583,10,4,12,10,4,2,2,18,2,2,2,32,5,3,10,5
NM_020710,35,20,43,40,41,17,34,67,37,22,25,48,43,22,53,52
NM_014704,12,3,5,21,3,3,10,14,3,2,5,54,14,8,13,29
NM_001282669,12,3,5,24,3,3,10,17,3,2,5,54,16,9,16,37
NM_207356,31,13,19,43,46,26,30,55,30,14,21,68,42,23,43,74
NR_024455,24,11,20,59,35,20,18,48,31,16,21,98,41,21,42,68
NR_040065,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0
NR_027088,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
NR_147025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001042478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001291594,8,3,11,25,6,1,5,36,5,4,0,29,12,5,7,38
NM_001199861,7,1,10,36,6,1,5,35,5,4,0,22,13,6,9,40
NM_015557,0,0,1,12,9,7,9,5,8,4,3,23,5,4,8,14
NM_000983,56,26,70,115,47,24,34,76,49,23,30,163,59,31,42,169
NM_207396,30,14,36,73,45,20,35,66,13,7,10,109,63,35,51,147
NM_012405,8,3,11,39,10,5,8,26,11,8,14,51,13,11,26,132
NR_103534,5,2,7,16,4,2,5,23,4,3,4,24,8,4,24,75
NM_207370,2,2,9,14,3,1,2,4,1,1,1,31,9,6,18,21
NM_007274,18,5,29,38,29,17,24,59,7,3,6,60,26,13,20,88
NM_019089,0,0,0,3,0,0,0,0,0,0,0,10,3,1,1,14
NM_031475,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
NM_003790,12,6,3,10,2,0,1,12,3,1,4,12,8,4,5,3
NM_198681,28,13,40,79,36,20,25,56,17,10,9,125,26,14,21,72
NM_024654,15,8,15,36,27,14,18,63,10,8,10,53,30,15,27,66
NM_138697,7,1,8,35,30,18,16,31,6,5,7,37,14,10,6,32
NM_001278647,18,9,20,86,19,9,10,83,30,18,12,139,50,25,56,86
NM_014851,28,15,27,88,34,21,36,48,14,9,12,65,41,20,40,129
NM_153812,8,2,7,39,11,5,7,17,4,0,9,72,16,12,9,54
NM_001195753,29,20,37,95,60,31,57,92,27,17,27,216,68,32,66,153
NM_138350,32,21,43,118,60,31,53,97,37,24,36,238,78,41,70,178
NM_018198,12,6,17,90,28,19,22,38,5,3,5,113,19,12,36,94
