Eli__repA_counts.bed,Eli__repB_counts.bed,Eli__repBss_counts.bed,Eli__repC_counts.bed,Elizabeth__repA_counts.bed,Elizabeth__repB_counts.bed,Elizabeth__repBss_counts.bed,Elizabeth__repC_counts.bed,Eric__repA_counts.bed,Eric__repB_counts.bed,Eric__repBss_counts.bed,Eric__repC_counts.bed,Ethan__repA_counts.bed,Ethan__repB_counts.bed,Ethan__repBss_counts.bed,Ethan__repC_counts.bed
NM_014950,78,45,105,389,119,64,78,285,68,36,54,505,162,96,209,528
NR_110550,2,1,6,18,3,2,8,18,2,1,2,18,8,6,12,22
NM_172365,0,0,0,7,1,0,2,0,0,0,0,0,0,0,0,4
NM_001308147,2,2,0,11,0,0,0,4,0,0,0,1,0,0,1,0
NM_001355436,0,0,9,3,0,0,0,1,12,9,3,0,0,0,0,0
NM_145165,43,24,57,126,61,34,48,96,46,28,19,151,96,45,126,199
NM_001202558,44,24,55,140,67,37,49,101,60,37,24,175,103,49,132,207
NR_138078,18,11,20,76,60,34,43,52,21,13,14,127,68,33,80,175
NM_001308154,9,5,17,43,9,5,11,18,11,6,11,46,31,19,20,76
NM_001271069,27,16,24,21,28,16,12,33,10,6,8,32,19,13,26,44
NR_073137,25,14,23,15,29,15,11,24,6,5,7,14,14,8,19,27
NM_002382,29,17,28,22,30,17,15,34,12,8,10,38,24,16,29,44
NR_045122,23,14,22,21,36,14,16,44,27,14,11,50,47,19,27,25
NR_103769,11,5,7,12,13,10,5,14,8,0,6,25,9,5,7,31
NM_178156,71,40,101,135,103,57,65,88,57,34,43,342,97,46,94,189
NR_110307,12,8,13,21,3,1,2,12,9,6,5,42,6,3,11,12
NM_001024218,60,33,58,131,52,33,46,84,89,53,39,241,101,52,103,175
NM_173526,14,6,10,24,7,3,6,14,12,8,6,33,21,9,25,11
NM_001256550,37,16,38,91,37,22,30,89,34,22,16,131,94,41,60,120
NM_015994,24,12,28,104,25,14,25,71,37,22,20,127,47,28,33,142
NM_004094,55,24,59,147,66,31,42,141,61,39,30,156,111,61,118,151
NM_016445,2,2,1,1,1,1,0,0,0,0,0,1,0,0,0,0
NM_001348546,1,0,0,5,0,0,1,2,2,2,0,0,0,0,0,0
NM_001348547,1,0,0,5,0,0,1,2,2,2,0,0,0,0,0,0
NM_020715,1,0,0,5,0,0,0,1,2,2,0,0,0,0,0,0
NM_001363694,14,6,21,26,14,5,23,31,21,11,14,17,50,28,35,70
NM_004569,15,6,22,30,18,9,29,31,21,11,14,23,51,29,37,76
NM_001172,4,2,7,13,3,2,1,3,4,2,0,17,12,6,9,13
NM_006370,58,30,65,208,98,61,83,126,53,33,43,328,104,51,107,364
NM_016026,44,19,53,94,21,8,25,66,53,34,20,73,93,51,91,107
NM_152443,6,1,5,4,4,2,1,0,0,0,0,10,1,0,1,10
NM_015346,21,13,27,37,45,29,21,52,21,12,13,44,43,24,37,40
NM_001321819,22,13,30,60,27,16,20,43,11,6,7,101,37,13,24,62
NM_001321812,2,2,2,23,2,2,5,0,7,4,8,20,6,4,7,17
NM_001321815,2,2,2,22,2,2,5,0,7,4,8,18,7,4,8,17
NR_135816,12,4,11,45,8,5,8,14,5,2,5,25,18,9,17,74
NM_001244701,63,34,79,268,68,42,59,192,84,44,43,545,114,59,117,337
NM_001130004,1,0,1,0,0,0,0,0,1,1,0,3,1,0,1,7
NM_001102,1,0,1,0,0,0,0,0,1,1,0,3,1,0,3,7
NR_073422,1,0,1,0,0,0,1,0,1,1,0,3,1,0,0,3
NM_003861,34,17,39,52,20,14,23,67,25,14,13,64,51,22,63,94
NM_001284206,37,18,43,55,21,14,22,66,27,15,13,67,51,23,64,100
NM_001193361,17,10,12,32,24,12,18,27,6,5,4,70,17,7,14,38
NM_001168368,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1
NM_004450,51,20,63,106,55,31,30,130,47,19,28,194,82,43,80,203
NM_001252152,53,21,64,75,78,42,43,129,43,19,25,157,91,51,91,139
NM_001161498,3,1,3,13,1,0,1,4,4,3,3,5,4,4,4,3
NM_001271507,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
NM_014734,11,5,15,42,17,6,15,18,9,8,2,29,13,6,20,38
NM_001320214,117,51,127,366,183,97,125,296,128,75,68,579,304,162,289,502
NM_003049,0,0,0,1,3,3,2,0,0,0,0,1,0,0,0,2
NR_149012,0,0,0,1,0,0,0,3,0,0,0,5,0,0,0,0
NM_022137,0,0,0,0,5,3,1,0,0,0,0,1,0,0,0,0
NM_058240,13,4,9,25,11,9,10,16,6,3,3,31,14,5,23,38
NM_033262,14,5,14,25,14,10,11,14,10,5,3,31,17,7,29,48
NR_135825,16,10,15,22,13,5,6,18,8,4,5,37,34,17,29,18
NM_001202549,7,2,11,19,14,7,6,14,13,8,5,27,18,11,16,28
NM_003813,1,0,2,6,1,0,0,0,0,0,0,17,0,0,0,2
NR_037933,2,2,3,0,4,3,5,1,0,0,0,8,1,0,4,7
NM_003814,0,0,4,11,1,1,1,4,2,2,2,2,0,0,3,3
NM_001284210,76,42,65,90,52,30,43,68,40,23,16,88,114,62,111,125
NR_110071,32,15,34,42,54,36,37,62,19,8,23,105,41,24,59,91
NM_015351,20,12,26,104,25,12,34,98,25,16,10,170,59,26,63,187
NR_125769,1,1,2,5,2,2,3,2,4,3,1,9,4,2,0,8
NM_033141,4,4,4,36,3,2,3,18,1,0,1,27,10,7,13,19
NM_001308160,31,18,38,59,15,7,18,60,28,14,31,83,47,27,54,89
NM_001354286,45,22,56,209,48,27,60,154,31,16,32,362,84,39,107,234
NM_001370289,0,0,3,11,3,0,2,29,0,0,1,90,0,0,3,19
NM_001280542,5,3,1,9,11,8,5,39,8,3,7,18,7,4,12,24
NM_012074,5,3,1,9,11,8,5,39,8,3,7,18,6,4,11,19
NR_147990,14,8,10,10,13,8,9,27,4,2,0,38,18,6,19,46
NM_001281735,13,8,9,13,7,5,2,11,0,0,0,42,17,8,7,24
NM_021260,5,4,7,24,12,5,13,28,8,7,6,48,32,22,35,37
NM_021239,108,55,99,163,175,93,112,214,130,74,74,240,271,148,241,251
NM_000021,65,33,72,176,90,46,62,133,54,31,26,209,109,56,115,228
NR_158677,5,3,2,0,1,0,2,4,0,0,0,1,1,0,0,11
NM_001005743,40,20,42,76,47,24,54,60,44,25,22,105,67,37,67,116
NM_203309,2,1,4,2,4,2,1,3,0,0,2,2,5,1,1,3
NM_001037161,7,4,10,25,28,17,21,33,5,0,4,75,21,9,23,63
NR_046028,23,14,32,43,14,8,9,8,23,15,13,134,17,7,23,59
NM_001364178,47,21,69,125,54,33,49,75,76,40,55,305,93,48,104,167
NM_152331,14,7,8,31,1,1,0,10,26,18,7,70,30,15,21,71
NM_001365789,2,0,5,3,1,1,1,1,2,0,1,4,2,1,1,6
NM_001201366,55,30,53,42,35,23,27,58,76,52,40,83,79,34,94,79
NM_001043318,52,24,60,221,59,29,45,123,41,19,40,537,109,66,121,278
NR_109995,70,34,67,203,53,27,44,117,60,27,51,580,127,73,134,273
NR_135238,1,0,0,4,7,1,7,4,1,0,0,25,4,1,9,4
NM_001371335,27,15,35,53,62,24,39,66,60,39,47,78,81,39,94,113
NM_001242928,38,21,49,113,36,18,25,91,68,35,30,224,109,59,119,190
NM_152445,25,10,29,65,27,16,12,48,5,3,3,59,20,7,9,44
NM_182480,14,5,9,46,8,7,3,35,4,3,1,47,19,7,8,24
NM_182476,41,19,45,76,37,19,19,60,12,8,5,99,32,11,24,70
NM_001330189,14,6,14,55,20,4,7,37,23,12,5,89,32,19,43,77
NM_025057,14,6,15,57,22,6,11,35,22,12,5,75,31,19,45,68
NM_001278594,15,7,20,22,21,12,14,24,9,6,5,48,18,4,16,69
NM_001024674,16,8,27,16,21,16,20,20,8,5,3,34,16,10,20,54
NM_182894,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,2
NM_001353599,43,22,36,113,37,18,33,58,30,16,26,232,50,31,45,150
NM_018228,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0
NM_001105579,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
NM_006432,4,2,5,11,9,5,10,22,4,2,1,24,34,19,28,6
NM_194279,21,7,23,60,15,9,20,58,24,12,11,57,59,36,68,76
NM_000428,2,2,1,0,0,0,0,1,0,0,0,0,2,1,0,1
NM_001039479,58,26,77,116,57,31,39,106,63,35,31,177,140,74,152,123
NM_001318508,53,23,66,112,55,30,35,110,66,36,31,171,143,75,149,124
NM_019589,48,22,39,75,50,29,43,79,24,13,7,118,67,38,64,139
NM_001243007,2,2,1,28,5,5,3,6,12,8,7,15,12,8,6,45
NM_001244883,32,19,21,74,39,21,32,54,20,5,12,127,50,33,44,139
NM_001370255,2,0,1,11,9,3,1,28,1,1,1,32,6,3,1,34
NM_031464,2,0,1,26,15,7,18,34,4,3,0,48,11,6,5,31
NM_002632,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,2
NM_014239,34,13,36,94,73,43,55,94,39,21,27,149,79,43,78,161
NM_001040108,42,22,52,120,40,18,33,108,46,25,34,167,63,29,73,237
NM_014381,43,22,52,122,43,20,33,113,46,25,34,195,64,29,77,264
NR_126395,44,21,40,71,30,15,17,62,41,25,28,160,79,42,48,142
NR_126394,33,19,34,32,23,12,19,54,35,17,21,79,38,19,33,74
NM_024643,30,16,33,38,25,12,17,52,32,13,21,76,35,18,28,75
NM_001329238,74,39,66,174,88,49,61,165,59,40,35,257,119,62,112,234
NM_006827,59,29,69,117,37,16,45,121,59,37,32,224,85,39,129,149
NM_005252,21,8,13,64,18,10,11,60,12,5,14,120,22,12,26,199
NM_001135047,49,27,59,250,75,44,44,156,55,32,31,281,112,63,88,227
NM_130469,31,17,48,127,29,17,29,72,23,13,11,158,43,27,43,114
NM_006399,174,84,146,302,194,89,155,304,143,92,84,514,240,137,238,434
NR_110552,7,3,9,12,19,7,11,12,10,6,5,6,9,7,11,12
NM_017791,15,7,17,30,12,4,10,37,3,2,8,32,29,18,28,51
NM_007176,45,25,36,73,76,40,45,71,44,22,13,86,147,85,144,96
NM_015072,3,1,6,45,13,6,11,22,7,3,3,39,26,15,26,62
NM_001329939,5,2,6,14,4,4,3,9,1,1,1,20,16,9,12,23
NM_001329938,7,4,19,25,20,11,7,34,14,9,9,69,29,11,26,20
NM_001102564,5,3,6,28,6,1,1,25,2,1,0,63,16,7,7,32
NM_001255995,5,3,6,28,6,1,1,25,2,1,0,63,16,7,10,32
NM_001322031,48,25,35,134,81,39,46,193,65,38,25,216,157,85,131,234
NM_001322027,48,25,35,137,79,37,45,191,68,39,26,226,151,83,130,247
NR_110314,28,11,29,118,108,58,83,115,87,55,59,329,70,35,60,143
NM_004452,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0
NM_014909,1,1,1,1,2,1,2,0,1,1,1,4,3,3,1,17
NR_104184,28,13,32,47,18,5,12,29,26,14,10,83,19,11,22,51
NM_015305,13,7,16,44,34,16,13,48,13,9,8,99,32,18,31,76
NM_194287,0,0,0,0,2,0,2,3,0,0,0,0,1,1,2,0
NR_133913,43,23,41,56,59,29,34,57,25,15,17,102,49,23,34,138
NM_024496,50,32,64,250,63,32,66,119,35,23,38,319,124,62,147,339
NR_110554,26,11,36,68,43,21,23,76,27,14,16,122,84,52,72,101
NR_110553,0,0,0,0,2,1,1,1,0,0,0,17,4,1,3,5
NM_033426,24,13,27,55,26,13,27,54,15,12,1,88,39,13,34,73
NM_174976,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
NM_020431,0,0,0,2,0,0,0,0,0,0,0,0,3,2,3,2
NM_021257,0,0,0,0,0,0,0,3,1,1,1,3,0,0,0,3
NM_013382,35,17,43,66,40,19,27,52,24,11,17,78,53,25,54,79
NM_145871,41,22,54,100,45,22,30,65,39,24,25,124,54,24,55,107
NM_001346134,11,5,22,65,14,7,15,25,14,9,9,124,21,12,22,35
NM_001346133,17,9,19,57,17,7,8,36,22,11,18,52,15,7,15,82
NM_001010860,14,7,7,20,6,3,6,9,18,9,14,28,12,7,8,33
NM_001113475,19,10,25,67,18,8,11,17,15,8,7,102,47,24,24,67
NM_001193315,36,17,37,101,47,25,45,70,35,20,16,128,113,53,104,118
NM_001321441,38,17,29,41,48,27,36,52,29,18,10,56,72,45,65,49
NM_199296,1,1,2,10,3,2,3,3,0,0,0,9,2,2,3,8
NM_004863,6,5,9,20,5,3,4,19,7,5,13,29,19,11,34,54
NM_006020,61,30,65,106,62,32,48,122,66,36,47,216,102,60,112,168
NM_001267863,66,32,72,123,71,37,55,127,71,38,49,223,105,63,112,189
NR_052025,67,32,72,124,70,38,58,127,75,40,50,211,106,64,112,186
NM_012245,35,18,49,141,38,22,32,129,44,22,23,213,94,52,76,245
NR_161323,43,25,54,196,49,28,46,149,55,30,21,302,113,59,100,309
NM_001366490,17,7,25,38,23,15,15,34,13,10,11,58,31,12,38,74
NM_001366426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_000793,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_038355,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NR_157142,16,9,15,31,8,3,9,18,24,10,10,38,22,10,17,35
NM_001142626,2,2,0,2,0,0,0,1,0,0,0,6,3,0,1,1
NM_201595,33,17,53,105,62,34,39,90,39,25,32,243,73,36,54,137
NM_001256430,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0
NM_001366850,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0
NR_109999,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,3
NM_005065,18,10,24,69,30,12,18,49,18,12,8,91,43,18,51,63
NM_001244984,17,9,21,70,30,12,18,48,25,16,12,95,43,18,51,63
NR_110074,0,0,4,8,4,2,2,2,4,4,3,2,2,2,1,2
NR_146498,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NR_146650,0,0,0,0,0,0,0,0,5,2,0,0,3,2,8,3
NR_102737,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
NR_144386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001346146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001346145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_110155,10,7,11,12,5,3,5,7,8,6,2,33,15,8,17,14
NR_038445,3,3,2,0,0,0,1,0,0,0,2,1,1,0,1,7
NR_146551,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7
NM_001201402,41,23,55,126,39,20,31,67,58,30,28,332,55,26,63,140
NM_003608,60,28,91,128,71,42,48,114,63,46,40,260,88,54,81,73
NR_110121,7,5,6,21,7,3,3,1,4,2,5,37,6,2,15,13
NR_046094,9,2,9,51,12,8,5,10,9,4,6,79,35,19,35,51
NM_021161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001040428,7,5,8,26,9,5,7,18,14,7,7,31,31,17,21,75
NM_018418,6,4,8,26,9,5,7,18,14,7,7,31,28,15,19,74
NM_007039,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,7
NM_001326312,21,10,15,42,22,11,10,35,18,11,9,72,30,21,20,85
NM_207661,26,14,21,85,30,15,13,49,18,14,10,153,41,25,31,143
NM_183387,1,1,1,4,2,0,5,7,10,5,7,17,2,0,5,29
NM_198309,0,0,1,2,0,0,0,3,7,4,0,28,3,1,3,14
NM_001366536,5,1,5,9,7,3,4,16,10,7,2,37,9,3,5,41
NM_001085471,45,27,38,93,36,19,26,52,38,24,14,136,47,27,53,111
NM_145231,9,3,19,22,9,3,11,24,4,1,3,40,40,27,39,32
NM_001284267,9,3,21,23,9,3,11,24,4,1,3,40,42,26,40,32
NM_001330205,45,19,65,125,36,20,19,102,38,19,32,122,83,48,72,182
NM_022054,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,0
NM_002802,58,32,66,116,40,24,24,99,81,43,50,186,72,40,77,157
NM_001330212,31,15,35,53,30,15,19,33,23,11,11,129,44,24,39,36
NM_017970,56,25,50,58,36,16,24,42,50,28,12,86,50,24,41,48
NM_001363669,26,17,24,94,22,11,23,115,63,37,34,247,77,43,82,150
NM_006888,110,56,108,221,157,85,97,336,156,89,75,393,211,115,235,424
NR_146492,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NR_033986,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
NM_001010854,0,0,0,0,0,0,0,0,4,1,1,3,0,0,0,4
NM_001320421,0,0,0,0,0,0,0,0,4,1,1,3,0,0,0,4
NR_110134,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
NM_001322233,28,10,20,41,27,18,11,32,5,1,8,119,18,11,23,88
NM_182398,28,10,20,41,27,18,11,32,5,1,8,119,18,11,23,88
NM_001358311,31,14,19,47,27,17,11,35,5,2,8,162,14,8,19,176
NM_001286473,25,12,30,119,37,21,35,77,50,27,21,123,85,42,62,119
NM_001348437,10,4,12,24,24,15,23,14,20,13,8,78,18,10,19,68
NM_001080414,13,6,14,66,25,13,9,48,18,13,12,100,26,11,32,165
NR_158976,65,30,85,181,86,44,47,143,79,47,50,317,160,72,152,294
NM_001284281,71,42,104,139,107,58,67,168,103,61,71,232,189,86,161,230
NM_024764,0,0,0,1,1,1,1,1,0,0,0,2,0,0,0,3
NM_001128596,0,0,0,0,3,1,0,0,0,0,0,1,3,2,6,2
NM_006329,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
NM_001321851,83,49,92,195,94,46,57,124,103,58,47,277,169,96,162,238
NM_001164781,14,7,11,34,20,9,30,52,17,10,10,43,39,21,35,72
NM_004545,35,13,31,69,51,25,37,100,53,30,29,169,96,51,93,167
NM_001322272,37,16,46,88,48,22,30,95,50,31,31,117,68,37,87,163
NM_153648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
NM_024832,14,5,12,44,11,8,16,62,16,9,16,84,48,23,50,110
NM_001363699,58,32,62,109,71,36,46,137,42,27,30,181,81,39,70,200
NM_005113,31,19,38,73,15,7,23,44,30,19,17,75,57,33,40,61
NM_001275,3,0,9,6,3,3,4,12,0,0,0,0,0,0,0,7
NM_001098621,25,12,27,79,38,25,12,83,29,16,13,99,47,27,69,104
NR_038150,19,8,21,65,38,24,27,50,22,7,26,74,41,24,56,72
NM_020818,29,15,30,41,23,11,21,25,18,7,13,43,36,16,46,53
NM_178013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_024182,10,7,16,21,6,4,2,3,10,6,4,48,1,0,4,44
NM_023112,0,0,0,2,1,0,0,0,0,0,0,12,1,0,1,2
NM_020414,29,14,34,109,29,13,12,101,27,15,9,110,41,20,51,135
NM_145249,30,18,25,68,29,13,11,76,16,11,6,80,37,16,44,99
NM_001288956,1,1,0,11,4,3,0,4,3,1,3,25,2,1,5,15
NM_001348145,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
NM_006220,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NM_001127702,4,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0
NM_001080451,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2
NM_175739,0,0,0,2,0,0,0,2,2,0,2,0,2,1,3,0
NM_173850,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001289033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_000624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001085,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
NR_015340,0,0,0,0,3,2,1,1,0,0,0,0,0,0,0,0
NM_030621,52,31,56,82,47,25,40,66,57,27,32,140,57,24,58,122
NR_015415,46,25,50,97,51,27,33,65,58,31,25,144,49,20,49,158
NM_024734,16,10,12,16,23,6,14,21,4,2,1,36,11,8,11,21
NR_110127,62,29,65,122,26,8,16,51,55,34,30,238,79,30,87,196
NM_152592,15,5,11,27,18,10,7,30,11,5,9,40,16,5,12,60
NM_016417,26,16,23,43,25,15,28,61,25,17,13,51,42,22,47,88
NR_146449,5,2,2,0,0,0,0,0,1,0,0,3,2,0,0,1
NR_152604,9,4,6,21,11,7,6,1,11,7,6,20,16,7,16,22
NM_004918,1,1,6,1,0,0,1,0,0,0,0,0,0,0,0,5
NR_049726,76,42,90,216,91,51,81,210,62,38,38,262,84,50,95,309
NR_148060,11,7,14,15,5,1,5,11,4,4,5,32,13,7,18,17
NR_132399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
NM_001282464,1,0,0,0,0,0,0,7,0,0,0,5,0,0,0,1
NM_000623,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NM_000710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_018036,21,9,24,48,29,16,17,49,8,3,9,79,45,27,38,89
NM_001271905,23,9,33,55,27,15,14,79,18,10,15,109,50,27,45,148
NM_016472,19,9,31,71,32,17,21,68,33,17,19,148,58,33,54,159
NM_152327,7,3,11,16,2,0,3,12,2,0,4,24,14,7,6,22
NM_001252006,42,20,49,91,56,31,36,138,29,13,18,122,71,37,97,174
NM_001293632,45,21,49,97,61,33,37,138,29,13,18,128,75,39,98,173
NR_146552,1,0,0,1,3,3,3,0,0,0,0,0,0,0,0,1
NM_003384,5,4,15,56,15,5,11,56,2,2,4,61,22,14,22,88
NR_146554,0,0,0,1,1,0,1,1,0,0,0,0,1,0,2,0
NR_110165,0,0,0,6,0,0,0,9,2,0,3,5,10,4,4,0
NR_033943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
NR_146447,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0
NR_015430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_161369,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1
NM_138576,0,0,0,0,3,3,0,25,0,0,0,5,0,0,0,14
NM_032233,4,3,4,10,1,1,4,11,2,1,0,17,15,8,22,13
NM_001099402,13,7,12,52,30,14,24,53,16,7,9,72,38,17,44,110
NM_001144995,0,0,1,10,3,1,1,9,3,3,4,11,1,1,0,27
NM_001329411,5,2,5,26,3,1,1,30,3,3,4,47,0,0,0,53
NM_032425,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1
NM_006668,7,4,2,16,0,0,0,5,0,0,0,8,2,0,2,3
NM_001008707,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1
NM_001330221,3,1,2,15,2,1,1,3,1,1,0,17,1,1,0,11
NM_206918,2,2,3,10,1,1,3,4,4,3,3,16,1,1,2,6
NM_003403,28,15,35,165,32,16,29,75,40,24,21,298,35,19,65,162
NM_001352822,5,4,11,5,11,2,12,20,4,1,5,31,12,5,11,23
NM_207117,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0
NM_173701,52,32,69,84,42,20,29,103,58,28,35,106,81,42,69,150
NM_001161476,34,19,56,79,36,20,32,91,53,24,34,87,89,49,62,137
NM_020836,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
NR_024096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NM_003836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_046473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001134888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_146000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_104192,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NR_047664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_152588,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NM_001352914,3,2,1,2,2,1,2,1,0,0,0,6,1,0,0,9
NM_001161725,1,0,7,14,5,1,4,8,6,2,3,8,7,5,26,39
NM_178587,60,30,87,189,107,59,72,155,84,55,41,236,179,99,137,335
NM_001376,25,12,21,43,37,19,23,39,11,6,9,64,57,26,47,89
NM_001017963,26,13,31,44,38,23,38,68,34,18,25,70,54,26,46,85
NM_001353668,22,16,31,36,15,4,12,42,23,13,23,70,18,6,19,72
NM_001353657,28,14,43,91,48,28,36,70,38,23,26,112,56,30,48,108
NR_148553,6,4,3,21,4,1,6,16,0,0,1,49,4,3,0,14
NM_001267827,34,17,20,52,36,20,26,24,25,15,9,83,15,9,19,45
NM_001320046,53,25,50,103,54,30,46,110,51,30,34,87,79,38,82,137
NM_001172631,54,24,50,86,53,29,45,111,51,30,34,82,72,35,76,134
NM_001348652,1,1,0,2,0,0,0,10,4,3,0,17,3,3,4,11
NR_146561,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1
NM_015156,16,9,9,76,11,7,7,63,18,11,6,75,20,8,18,104
NM_003300,12,10,14,23,20,13,14,22,10,7,7,35,16,9,19,46
NM_030943,25,16,34,44,22,12,24,42,6,4,1,12,19,8,17,67
NM_006035,4,3,7,15,2,2,5,17,2,2,1,29,11,6,8,44
NM_001330236,0,0,0,2,0,0,0,0,1,0,0,7,2,1,0,1
NM_001077594,3,1,2,3,1,0,0,2,3,1,1,4,8,6,6,2
NM_001371221,27,9,25,56,36,18,30,59,7,3,6,103,46,28,58,79
NM_001969,60,26,61,331,119,54,82,298,68,32,36,493,122,77,151,522
NM_001128921,8,7,22,67,15,6,9,35,7,2,5,59,38,16,41,91
NM_001823,10,5,13,61,22,9,13,29,16,8,8,94,25,12,35,57
NM_152307,21,14,24,78,14,7,25,57,23,15,16,89,41,19,49,112
NM_001015048,14,5,11,31,20,10,23,37,9,4,7,41,36,21,34,77
NM_001015049,15,6,20,101,34,22,23,54,13,7,8,139,49,28,55,197
NM_001302654,12,5,8,33,24,11,20,29,7,4,7,64,37,22,28,67
NM_005552,42,24,44,123,36,24,45,74,34,16,14,184,78,46,96,207
NM_001100118,36,16,26,88,51,23,63,90,25,16,16,155,44,23,52,102
NM_024071,18,9,18,65,30,14,34,36,8,1,10,75,12,3,25,43
NM_015316,10,6,5,33,13,6,13,12,9,5,4,15,20,12,24,39
NR_038436,9,5,4,21,14,6,12,16,7,6,6,24,20,12,21,35
NM_001127393,16,5,15,43,13,9,12,36,17,8,4,54,28,10,31,58
NM_153046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NM_001080464,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NR_158217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_015656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_146611,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NM_001286399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_135293,7,4,10,20,1,1,2,23,7,4,4,23,6,2,15,30
NM_032714,1,0,0,8,3,0,0,11,5,5,2,28,6,4,13,18
NM_022489,1,0,0,8,3,0,0,11,5,5,2,28,6,4,13,18
NM_152328,6,2,6,25,8,5,3,15,5,3,0,3,9,5,15,57
NM_006427,12,7,7,43,36,16,17,28,25,12,11,44,30,17,36,69
NM_001014431,7,3,9,29,17,8,17,12,17,8,3,12,22,13,25,47
NM_001370342,5,3,5,7,3,3,2,11,3,1,2,20,3,2,3,24
NM_015005,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1
NM_001308174,0,0,0,2,4,3,4,1,1,1,0,1,0,0,1,0
NM_138420,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1
NM_174891,6,3,3,16,4,1,5,8,2,0,3,7,12,6,14,14
NM_001364170,8,4,5,29,4,1,5,12,8,5,4,41,25,10,26,34
NM_145701,19,9,25,67,35,15,29,63,18,12,14,104,23,9,31,86
NM_013345,81,45,79,179,154,80,107,250,83,55,39,279,137,70,148,297
NR_110546,9,2,7,48,3,1,5,34,4,1,4,129,18,12,21,81
