Eli__repA_counts.bed,Eli__repB_counts.bed,Eli__repBss_counts.bed,Eli__repC_counts.bed,Elizabeth__repA_counts.bed,Elizabeth__repB_counts.bed,Elizabeth__repBss_counts.bed,Elizabeth__repC_counts.bed,Eric__repA_counts.bed,Eric__repB_counts.bed,Eric__repBss_counts.bed,Eric__repC_counts.bed,Ethan__repA_counts.bed,Ethan__repB_counts.bed,Ethan__repBss_counts.bed,Ethan__repC_counts.bed
NM_001126049,193,99,218,433,196,109,162,286,168,100,86,816,222,108,210,595
NM_001304718,11301,5750,12532,23217,11713,6235,9054,12154,10220,5861,5794,38686,13405,7076,13169,20061
NM_018363,1117,570,1269,2227,1125,587,850,956,1035,571,584,3350,1211,646,1297,2132
NM_001031709,1050,535,1222,2158,1059,551,795,921,979,531,561,3220,1141,619,1222,1961
NM_001010939,27,11,38,41,9,4,5,16,15,12,3,77,15,9,15,22
NM_004190,6,0,18,11,0,0,0,3,8,4,7,14,17,10,10,5
NM_001080518,12,7,14,46,4,4,2,7,11,7,6,27,12,7,20,15
NM_001102469,20,11,33,44,1,1,0,5,16,11,6,34,13,9,16,26
NM_001128215,2,1,3,17,11,8,7,10,2,1,0,14,9,3,9,8
NM_144590,43,22,28,86,49,20,36,57,24,13,9,87,64,25,58,111
NM_020799,1607,813,1666,3274,1719,869,1251,2135,1682,995,958,5950,1856,968,1820,3789
NR_125373,152,84,157,417,215,120,145,318,175,106,105,595,216,111,219,584
NM_001320855,749,373,766,1721,902,482,657,1030,755,444,420,2419,984,545,863,2033
NR_028034,1513,752,1673,3986,1582,819,1202,2490,1187,677,646,5616,2275,1216,2097,4061
NM_001288979,281,137,316,645,295,160,201,363,321,190,185,637,414,225,377,617
NM_000235,275,133,307,639,295,160,199,362,313,186,182,623,411,223,376,600
NM_001547,223,124,246,917,240,124,192,265,174,102,93,870,358,204,265,503
NM_001549,1179,592,1295,3542,977,508,730,1016,680,387,388,2712,1704,905,1548,2407
NM_001010987,9,4,9,36,5,0,13,4,3,3,2,24,13,11,10,14
NM_001270930,504,256,589,1042,144,84,132,114,145,95,56,195,541,285,487,519
NM_012420,177,86,187,418,96,45,75,108,86,56,52,443,189,105,209,225
NM_213606,55,30,61,180,37,18,21,51,40,20,20,179,45,24,63,111
NR_120614,0,0,1,4,0,0,1,0,0,0,0,3,1,0,1,3
NM_138316,404,188,500,1630,518,260,394,568,416,230,263,2459,546,293,565,1173
NM_148977,473,219,564,1747,555,280,434,618,461,254,304,2658,611,330,622,1295
NR_026835,15,10,20,62,6,3,14,20,18,9,14,99,25,14,17,50
NM_001284259,968,515,1144,1865,855,438,688,896,921,527,520,3021,1169,609,1157,1392
NR_038382,35,14,31,122,29,17,21,23,55,27,26,316,54,26,50,218
NR_149080,74,35,87,170,5,4,6,35,38,24,34,222,69,34,60,125
NR_110655,35,22,31,80,17,10,14,23,23,11,11,73,21,8,16,33
NR_110657,30,17,30,133,28,19,23,52,18,11,10,103,25,12,33,72
NM_000872,34,16,34,124,25,19,27,51,61,32,25,105,34,23,25,98
NM_006413,423,219,454,974,344,178,265,475,409,240,215,1847,499,260,482,766
NM_001104546,597,303,664,1376,510,267,408,697,589,337,317,2691,694,353,680,1154
NM_014391,40,27,49,95,34,17,16,45,29,22,13,96,29,16,28,47
NR_131214,138,75,146,421,87,54,83,116,122,69,50,414,211,111,217,256
NR_134319,1,0,0,11,1,1,0,4,0,0,1,0,5,3,4,0
NR_047467,2,0,2,18,2,2,0,3,2,0,8,31,0,0,5,2
NR_046435,1873,956,1996,3760,1884,1031,1430,1867,1753,990,1015,6500,2610,1356,2499,2974
NM_032373,1785,899,1966,4031,1895,976,1403,1906,1686,966,963,7045,3208,1721,3087,2710
NR_024467,658,350,674,1532,393,207,269,387,657,341,365,3022,706,391,681,1658
NM_001348365,414,227,423,928,206,111,142,145,433,218,229,1995,417,235,397,1034
NM_173497,284,155,294,565,134,77,88,77,253,127,143,1268,265,150,253,595
NM_005398,1,0,0,2,0,0,0,1,0,0,0,6,0,0,3,1
NR_108071,14,5,11,38,7,3,6,17,12,7,11,54,25,5,14,38
NM_025235,1063,536,1175,2397,897,462,700,1102,1349,767,754,4958,1480,810,1448,1653
NM_003972,3845,1985,4168,6574,3540,1838,2724,3303,3580,2010,1989,11392,5573,2920,5140,5123
NM_014912,938,459,1081,2268,930,464,722,1735,1383,763,785,5143,2248,1167,2239,2478
NM_017824,453,228,506,947,607,316,395,878,588,338,340,1977,776,388,763,993
NM_001322793,1276,624,1414,2555,1193,596,928,1350,1153,651,634,4013,1211,628,1126,1799
NM_004523,971,508,1066,2184,936,469,672,1159,1246,728,696,4441,1280,701,1226,2211
NM_002729,6,2,6,21,2,1,3,1,18,10,3,48,3,1,4,65
NM_001013848,817,398,887,1590,649,355,512,743,747,441,414,2224,809,415,720,1627
NM_001319194,815,398,881,1577,640,349,509,739,744,438,413,2198,801,410,717,1613
NM_183374,13,8,18,22,3,3,4,7,12,9,7,30,10,3,7,30
NM_057157,0,0,1,0,0,0,0,0,6,4,1,12,0,0,0,0
NM_000783,0,0,1,0,0,0,0,0,6,4,1,12,0,0,0,0
NM_013451,68,29,51,276,53,24,44,103,67,34,34,408,81,44,69,195
NM_001127182,255,114,316,629,356,170,272,396,353,198,194,988,415,230,454,717
NM_001195755,1,1,2,22,5,2,1,8,7,3,5,14,6,3,6,14
NM_006744,1,1,1,2,4,4,1,2,0,0,0,1,1,0,5,1
NM_001323518,1,1,1,2,4,4,1,2,0,0,0,1,1,0,5,1
NM_006204,174,84,179,588,254,131,181,291,211,123,120,805,258,123,241,509
NM_001347714,544,264,600,1100,536,298,372,517,624,354,388,2044,720,351,661,697
NM_001308276,1,0,3,29,3,1,3,8,0,0,0,11,7,1,9,11
NM_005097,1,0,3,29,3,1,3,8,0,0,0,11,7,1,8,11
NM_001134658,69,31,63,117,75,39,47,72,67,27,46,249,53,34,43,111
NR_002319,43,23,26,40,31,16,23,37,19,8,17,92,36,17,46,31
NM_016341,680,326,816,1462,610,327,391,719,659,371,352,2055,733,394,739,1474
NR_120616,0,0,0,10,3,1,2,1,2,0,0,2,0,0,0,0
NM_001165979,557,270,677,1263,506,269,309,611,533,307,301,1777,610,315,624,1285
NR_033969,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0
NM_022451,662,342,766,972,501,269,393,489,629,373,349,1831,717,346,767,764
NM_015188,792,406,862,1819,670,355,495,674,1040,612,589,4037,1021,564,1001,1462
NM_001289067,1429,703,1520,2027,1315,706,951,1145,1431,857,847,3305,1468,776,1435,1975
NM_000772,26,14,46,130,26,14,23,59,27,15,34,159,32,13,35,58
NM_000769,93,42,89,208,76,37,54,74,66,33,51,231,97,53,69,183
NM_000771,25,9,28,76,18,9,17,37,17,12,11,63,38,17,24,54
NM_001198855,16,7,16,51,37,17,17,28,23,17,14,78,20,11,19,51
NM_207321,209,110,250,467,272,143,210,269,275,155,161,846,245,151,219,329
NM_020992,1897,951,2101,4127,2603,1355,2052,3437,2162,1255,1267,7205,2494,1291,2553,5184
NM_015385,163,85,163,550,373,193,286,615,199,115,125,1227,329,173,262,885
NM_001323413,911,464,879,1800,947,497,668,1017,1037,604,664,3672,1280,655,1305,1991
NM_001143973,846,418,921,1442,689,363,565,876,693,399,427,2370,992,504,966,1151
NM_015631,840,416,912,1421,684,360,556,854,689,396,426,2329,982,497,963,1128
NM_001098175,18474,9391,19736,37220,17580,9240,12972,19019,18428,10494,10593,66275,22611,11955,21351,38572
NR_038444,22397,11336,24211,46252,22055,11646,16319,24036,22734,13033,13158,82233,26915,14265,25493,46098
NM_001130446,176,83,176,349,150,72,140,142,170,101,125,710,164,86,161,244
NM_019084,312,150,357,759,293,174,248,389,341,197,211,1374,458,239,431,702
NM_001278526,1067,542,1217,1926,1048,548,760,921,1100,632,582,3017,1178,624,1129,1434
NM_001278525,1023,519,1159,1832,993,515,729,852,1048,598,556,2807,1116,588,1074,1324
NM_013314,7229,3569,7892,15957,5259,2761,3971,6131,5901,3335,3452,22889,8087,4245,7839,12472
NM_001017520,8,6,7,18,0,0,0,17,2,2,0,14,8,6,10,23
NM_001040102,0,0,0,10,4,3,3,7,0,0,1,4,3,1,1,5
NM_033207,0,0,0,10,4,3,3,7,0,0,1,4,3,1,1,5
NM_012465,159,71,176,501,123,47,115,157,114,73,58,457,331,180,325,415
NM_020123,2662,1326,2967,5314,2368,1283,1710,2452,2924,1669,1631,10085,3713,1984,3568,3775
NM_152309,4975,2467,5501,10719,9784,5127,7290,11369,7515,4246,4425,31268,10170,5264,9799,18432
NM_001170766,4368,2243,4760,8879,5070,2664,3724,4638,4467,2538,2610,14748,6795,3588,6563,7192
NM_003061,196,85,222,568,207,109,151,242,217,118,109,642,274,150,240,465
NR_037909,838,406,964,1967,865,431,724,1056,953,545,578,3616,1168,603,1263,1912
NM_032900,681,326,818,1577,735,362,616,864,796,453,472,2839,943,491,1022,1532
NM_001284337,378,204,419,725,346,178,246,490,366,213,193,957,481,254,446,914
NM_001145114,378,204,415,720,346,178,242,479,367,215,194,948,477,252,443,887
NR_157582,107,44,108,256,155,87,131,157,93,55,54,487,158,85,130,203
NM_002629,634,318,643,1378,805,425,514,745,489,299,315,2692,879,447,856,1663
NM_001318364,178,95,202,478,340,166,272,243,198,112,123,648,277,141,299,511
NM_001287803,736,376,764,1877,879,453,619,1126,715,400,416,2665,977,518,905,2234
NM_001289405,972,494,1086,2269,1164,632,852,1231,1047,570,584,4152,1601,826,1480,2727
NM_024954,207,94,201,403,175,92,149,310,124,76,67,698,310,150,293,967
NM_001291218,4,1,2,20,5,1,7,11,0,0,0,16,6,3,1,23
NM_001129981,4,1,2,20,5,1,7,11,0,0,0,16,6,3,1,23
NM_001134670,9,4,21,73,12,8,11,27,17,8,9,132,33,13,38,94
NM_001098831,82,45,75,210,37,22,28,79,73,32,36,318,68,29,84,268
NM_178832,68,36,57,163,30,19,17,58,54,23,27,239,58,26,67,200
NM_018425,361,185,385,825,450,234,378,529,456,253,249,1511,480,256,436,1026
NM_021732,73,44,81,220,132,66,106,172,78,42,53,387,136,86,109,347
NM_031484,6,4,7,12,14,6,3,22,20,15,11,57,28,12,35,54
NM_001174120,647,326,718,1485,626,327,478,724,689,361,412,2549,785,408,733,1348
NM_001002262,644,323,717,1467,624,327,476,724,689,361,412,2540,783,407,731,1336
NM_003015,92,46,100,209,139,73,113,113,78,48,46,233,146,76,151,284
NR_108035,20,6,13,53,35,24,17,23,8,4,10,59,26,16,23,36
NM_001010917,7,4,6,16,5,4,1,2,3,1,1,9,4,3,7,21
NM_018058,13,6,11,117,19,11,12,50,12,8,7,68,17,10,22,67
NM_001206528,13,6,11,105,15,8,11,50,10,7,7,66,14,8,19,58
NM_001256620,1660,856,1716,3569,1640,856,1190,2095,1840,1072,1105,6325,1992,1029,1973,2959
NM_032211,374,190,424,906,460,252,320,631,395,237,188,1301,479,242,447,1277
NM_032709,260,137,267,529,516,281,394,622,196,116,124,626,377,199,336,757
NM_001322482,707,354,795,2194,777,422,539,1258,674,392,403,3518,844,419,835,2342
NR_134454,14,6,12,46,18,8,8,13,40,24,15,82,16,8,20,51
NM_021828,394,198,451,1556,403,201,296,479,327,169,210,1683,516,262,470,1430
NM_001345887,304,148,355,863,194,98,144,107,106,53,79,279,159,89,177,434
NM_002079,444,234,509,837,351,178,277,485,388,229,224,992,370,195,391,717
NR_120618,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
NM_145285,0,0,0,0,2,2,1,0,0,0,0,1,0,0,0,1
NM_031212,402,193,414,902,411,211,317,414,412,243,240,1571,483,268,473,1049
NM_001349962,688,359,760,1380,524,261,412,732,571,337,364,2018,732,394,702,1279
NM_001349963,685,357,758,1378,519,258,411,731,570,336,363,2011,730,393,699,1280
NM_001320974,853,442,903,1773,763,408,568,890,844,473,460,2675,1266,646,1182,1711
NM_015960,291,152,329,696,217,108,191,281,294,164,176,1523,425,218,444,452
NM_000392,90,34,98,342,127,67,90,150,127,67,60,437,163,85,142,195
NM_001318327,1366,690,1481,3140,1032,522,812,1483,1360,776,794,5252,1214,619,1255,2225
NM_015221,5586,2749,6205,13381,4755,2463,3596,6289,5553,3169,3155,22925,5229,2726,4987,8805
NR_024130,1809,863,2078,4104,1579,801,1191,1742,1748,973,1019,6301,1711,887,1588,2747
NM_001308,24,12,24,98,27,14,19,44,13,7,10,215,22,9,24,74
NM_001347861,368,188,366,930,354,201,227,476,369,208,217,1871,486,254,430,837
NM_001320928,515,272,615,1055,470,260,365,595,466,253,273,1437,616,310,551,913
NM_001278,515,272,615,1055,470,260,365,595,466,253,273,1437,616,310,551,913
NM_001303406,869,446,1018,1886,897,473,722,956,962,554,575,3833,1072,516,997,1464
NM_001282439,444,223,424,933,458,239,394,490,402,229,220,1857,646,343,595,869
NM_173809,443,223,424,926,455,237,393,488,402,229,220,1849,645,343,594,862
NM_016112,46,21,43,98,32,19,40,55,29,17,17,131,29,13,23,102
NM_005063,759,402,819,1856,910,493,708,894,861,496,471,3713,1241,655,1154,1657
NR_026762,149,73,162,407,190,99,140,162,167,96,99,585,189,89,205,237
NM_003393,140,72,140,523,169,87,133,224,129,85,84,784,213,107,195,575
NM_015490,548,265,594,1150,576,292,401,465,533,295,337,1689,825,430,804,1071
NM_001284368,220,113,219,324,204,102,175,125,211,115,136,556,307,155,282,293
NM_005004,220,113,219,319,200,100,173,124,211,115,136,554,307,155,282,286
NM_017902,866,420,946,1656,751,409,569,998,838,484,487,2947,1130,634,1079,1737
NM_001304569,9,5,13,62,17,12,8,10,5,5,4,53,21,12,18,37
NM_003987,9,5,13,62,17,12,8,10,5,5,4,51,21,12,18,37
NM_001136123,605,298,675,1608,616,323,487,676,915,542,504,3035,861,435,893,1258
NM_001203244,205,98,240,675,256,126,197,345,204,125,112,1072,284,162,276,722
NM_176792,192,98,192,633,207,111,158,309,194,118,112,1101,285,164,259,669
NM_176794,141,70,125,420,151,85,115,195,130,84,92,830,215,120,196,457
NM_001368275,133,65,137,282,177,106,108,155,104,58,69,539,151,86,110,375
NM_032429,146,79,185,657,266,149,189,330,215,110,126,1272,320,171,345,705
NM_001318101,22,13,39,196,88,52,65,109,67,39,43,302,107,60,101,205
NM_001195263,53,33,56,135,84,43,53,118,65,40,36,296,84,46,101,153
NM_001351044,3,1,5,29,16,8,8,20,17,13,9,53,8,5,5,14
NR_157572,16,8,24,71,38,22,25,50,24,16,16,107,61,24,50,103
NM_030929,17,8,21,103,43,25,32,37,21,12,10,184,55,31,40,85
NR_130723,8,4,11,56,19,7,15,39,15,8,6,61,22,11,13,22
NR_130724,8,3,9,33,7,2,6,35,14,8,4,41,20,10,5,12
NM_001195517,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1
NR_120620,19,8,25,50,13,6,12,24,12,7,3,41,27,17,34,34
NR_029380,2,1,0,5,1,1,2,0,0,0,0,1,2,0,1,1
NR_120621,0,0,0,15,3,2,0,3,0,0,0,10,3,2,1,2
NM_001256856,1595,815,1702,3657,1479,799,1134,1735,1925,1168,1085,7193,2323,1274,2335,2744
NM_033637,1590,813,1693,3646,1474,799,1130,1719,1906,1156,1071,7174,2305,1263,2329,2738
NR_033406,200,86,206,586,194,93,147,260,159,88,74,958,336,155,289,565
NM_001329746,143,63,149,248,167,86,102,174,73,41,56,384,163,78,160,231
NM_001323541,2106,1054,2214,4350,2077,1080,1543,2422,1980,1162,1160,6791,3054,1598,2931,4816
NR_136613,2101,1051,2199,4276,2067,1075,1537,2397,1969,1155,1156,6673,3045,1591,2924,4660
NM_001206389,29,13,39,82,59,27,45,69,31,16,22,76,46,21,47,115
NM_033163,10,6,9,20,9,4,3,14,6,3,4,16,14,8,14,16
NM_001142434,3414,1743,3693,7043,3579,1848,2703,3363,3597,2019,2072,13147,4306,2232,4098,5080
NM_012215,3412,1741,3691,7039,3578,1848,2703,3360,3587,2013,2068,13097,4301,2229,4090,5069
NR_045118,125,68,122,245,92,52,61,103,52,25,28,241,115,55,123,253
NM_173192,271,116,285,570,281,150,203,297,165,86,106,740,354,170,288,720
NM_024541,2995,1458,3233,6642,3500,1870,2661,3797,2742,1560,1644,9146,4421,2293,4329,6218
NM_001321612,335,174,369,931,580,307,402,628,394,223,202,1646,533,259,532,1096
NM_001113407,339,176,373,933,583,309,404,634,398,224,204,1660,537,262,536,1105
NM_001288727,913,441,956,1560,1028,554,756,965,772,441,408,2730,997,542,939,1900
NM_001284388,633,304,696,889,697,368,486,496,617,364,374,1639,597,306,599,1030
NM_004741,620,298,691,851,676,358,472,482,598,354,365,1598,583,300,583,1000
NM_152310,2,1,7,6,1,0,0,0,1,0,0,12,3,1,4,0
NM_005029,7,3,12,21,2,0,2,3,1,0,0,45,7,4,13,19
NM_001199379,2919,1480,3230,6420,3004,1560,2148,3201,2785,1637,1656,9713,4344,2293,4283,5668
NM_001322935,974,499,1039,2545,1149,623,784,1061,867,510,495,3218,1642,864,1534,2236
NM_001322934,876,452,943,2297,1028,565,699,929,805,476,446,2928,1533,807,1388,1981
NM_001270965,1152,587,1187,2735,1492,767,1099,1932,786,467,473,2457,1913,1004,1818,3238
NM_002779,1147,584,1182,2729,1490,766,1099,1930,780,465,468,2437,1910,1003,1814,3220
NM_024326,102,45,117,449,129,58,96,223,106,61,51,753,173,90,173,551
NM_024040,336,146,319,651,382,200,276,410,291,171,152,1200,410,210,437,772
NR_038938,196,96,218,498,202,106,140,257,209,118,117,1008,278,147,266,697
NM_024789,142,75,184,367,234,118,217,287,177,116,83,508,237,121,233,341
NM_005736,317,149,342,846,486,251,359,648,323,187,194,1270,509,271,466,1098
NM_016169,718,362,732,1735,844,428,621,1098,588,332,363,2645,1039,522,979,1819
NM_001178133,614,307,625,1457,703,366,512,915,518,291,328,2272,867,432,816,1492
NR_144321,437,213,459,1210,605,308,422,848,544,310,285,2507,678,352,673,1862
NM_004311,501,253,532,1526,649,319,534,801,510,292,291,2537,863,430,836,1685
NR_146992,265,149,311,509,252,138,192,283,315,185,129,916,310,162,314,650
NM_178858,419,231,461,933,456,249,358,559,502,294,234,1659,576,287,533,1158
NM_001083913,1246,662,1346,2894,1347,722,973,1461,1181,664,738,4336,1742,887,1790,2788
NM_000102,13,7,17,44,22,13,11,12,8,4,6,69,13,9,14,37
NR_037644,305,163,335,785,262,146,200,335,400,224,230,2084,330,185,347,512
NM_001136200,76,39,93,119,57,30,43,34,60,31,39,325,65,39,66,96
NR_160733,38,20,25,134,43,23,16,33,84,59,40,584,19,7,47,96
NM_199076,1511,729,1588,4353,1541,808,1061,1788,1571,922,882,6545,1956,1034,1991,3810
NM_199077,74,44,72,174,60,34,43,68,75,48,47,534,88,47,75,132
NM_001351195,2545,1229,2892,5620,2511,1320,1945,2928,2674,1518,1510,9714,3196,1667,3017,4280
NM_032727,9,5,4,34,6,4,8,9,10,4,4,24,8,3,9,24
NM_001011663,461,229,513,1152,518,275,384,622,486,267,263,2002,571,305,488,1117
NM_139052,439,216,521,1136,465,241,382,547,428,256,228,2367,609,320,614,969
NM_001206426,209,106,249,398,176,84,133,212,214,118,134,845,265,135,244,291
NM_014976,1413,690,1524,2314,1484,769,1033,1650,1238,693,691,3445,1879,984,1698,2901
NR_024552,126,59,130,381,170,88,128,221,107,61,78,517,192,105,191,533
NM_001001412,25,13,26,60,29,15,33,26,22,14,7,66,18,10,23,103
NM_001129742,21,10,11,42,25,12,13,19,6,3,3,64,24,15,26,72
NR_120675,18,14,20,61,21,10,13,27,14,9,8,117,11,7,23,83
NM_004210,140,72,168,403,153,69,106,294,172,101,92,499,184,103,170,476
NM_014631,1523,715,1656,4326,2243,1115,1574,2895,1390,814,768,5511,2382,1232,2311,5265
NR_038940,4,4,4,18,13,9,5,18,6,4,5,24,7,4,5,19
NM_024928,327,146,399,1166,354,200,275,525,369,190,218,2101,572,302,535,1119
NM_001304743,817,439,946,1836,834,423,592,1006,877,503,560,3804,994,532,969,1335
NM_000494,203,88,194,559,268,136,223,375,121,76,69,833,233,138,203,682
NM_145247,34,13,55,93,30,16,18,45,40,17,20,171,28,13,35,51
NM_025145,66,28,72,254,64,37,41,97,64,32,54,220,60,32,58,120
NM_001191003,527,268,601,1362,654,332,505,802,576,357,333,2931,726,382,696,1211
NM_004832,493,246,551,1250,611,320,469,702,542,334,315,2783,663,345,637,1066
NM_001191013,68,31,78,186,111,54,82,105,79,47,40,267,88,47,99,198
NM_183239,60,30,75,168,89,45,74,89,83,47,40,257,82,44,96,177
NM_033397,320,169,350,595,294,155,190,415,239,132,129,804,396,207,358,869
NM_001272013,367,193,415,663,330,174,227,467,281,160,163,991,434,225,395,974
NR_120622,13,8,23,35,17,10,10,23,18,14,10,21,18,7,8,65
NM_001008723,14,8,16,95,41,20,27,52,13,8,14,100,25,16,30,52
NR_120624,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
NM_014978,181,76,210,870,1940,1053,1496,5950,296,161,171,1021,196,109,175,389
NR_120625,80,32,124,272,86,43,76,76,66,33,38,262,111,57,105,159
NR_134331,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,5
NM_052918,165,77,177,761,233,121,185,445,172,94,118,832,281,142,267,637
NR_125760,61,29,51,201,197,98,170,786,17,13,12,160,74,39,60,143
NM_001167604,1030,534,1071,2368,1038,535,730,1161,988,546,576,3505,1847,940,1828,2680
NR_038943,43,22,43,134,48,25,32,32,21,11,15,114,48,33,61,115
NM_001320591,1430,735,1615,3204,1487,781,1062,1725,985,582,610,3561,1845,1036,1810,2392
NM_130439,1007,504,1132,3652,1308,723,953,1253,911,548,531,5689,2217,1161,2210,3011
NM_005871,721,356,753,1753,735,383,613,857,715,420,412,2992,959,521,892,1521
NM_004419,1937,980,2064,3741,1812,963,1386,1925,1437,858,832,4145,3583,1904,3402,6031
NM_005445,1198,611,1260,2317,1228,686,932,1337,1263,753,724,4869,1342,678,1338,1974
NM_001134363,566,283,652,1751,1185,622,813,1333,589,349,356,3046,778,404,783,1747
NM_145341,2892,1465,3288,5893,3613,1840,2608,3302,3315,1876,2025,12919,3850,1952,3736,3762
NM_001243783,2022,1022,2199,4898,2842,1518,2072,3227,2404,1426,1279,9361,2716,1470,2622,4616
NM_001324336,3429,1784,3789,7079,3735,2016,2849,3873,3345,1923,1972,11906,4652,2453,4647,5296
NM_000681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
NR_159949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_020918,349,187,329,648,227,98,180,339,339,181,184,933,298,134,287,582
NM_058222,13,4,11,34,4,1,4,7,0,0,0,34,1,0,4,16
NR_028134,9,3,15,54,14,7,13,12,6,2,4,71,15,8,20,35
NM_203379,879,445,1040,2032,1004,534,767,1060,993,541,604,3192,1275,687,1228,2156
NM_203380,807,406,972,1904,962,509,717,972,907,499,546,2912,1163,633,1125,1999
NM_001363544,950,476,1058,1953,945,504,687,1092,905,506,552,3717,1156,612,1128,2080
NM_001351082,525,263,541,1074,535,293,375,582,438,253,269,2185,606,316,564,999
NM_022494,463,232,490,955,493,272,339,509,405,234,243,2038,513,266,492,843
NR_134522,25,13,32,75,37,20,28,45,63,36,48,186,28,18,26,54
NM_001365710,2766,1429,3017,4542,3158,1665,2358,2790,2920,1670,1619,7220,3529,1860,3434,4320
NR_120684,38,22,48,98,35,18,23,54,19,11,5,80,39,29,30,54
NM_001198526,223,105,189,572,203,90,142,158,200,118,94,858,301,164,328,403
NM_001177660,3,1,6,19,11,7,0,7,20,8,8,22,10,5,5,32
NM_198060,10,4,12,38,0,0,3,4,6,2,4,81,6,3,2,22
NM_001261463,10,4,12,38,0,0,3,4,6,2,4,81,6,3,2,22
NM_001267056,857,415,959,1557,896,463,673,1018,674,363,385,1796,1060,565,973,1659
NM_001320911,856,415,959,1556,895,462,672,1014,674,363,385,1795,1057,563,973,1659
NM_001193434,10,5,13,44,8,3,10,5,6,6,2,28,6,3,6,28
NM_182601,0,0,0,11,1,0,3,2,1,1,0,0,2,1,0,7
NM_001271816,277,146,279,681,255,134,192,274,222,130,133,1237,259,133,257,385
NM_198514,1597,796,1688,3467,1793,978,1443,1922,1556,887,880,5457,1848,976,1788,2446
NM_000684,10,6,1,9,9,6,6,34,11,7,6,112,7,2,10,16
NR_135815,704,335,729,1576,631,344,469,747,646,363,341,2506,851,435,803,1037
NM_198795,7,6,8,52,13,6,5,15,9,7,7,55,6,3,8,36
NM_001365891,7,6,8,53,13,6,5,15,9,7,7,57,6,3,8,36
NM_001272046,39,23,49,280,271,155,181,649,121,76,70,544,165,85,157,495
NM_001320804,39,23,49,280,271,155,181,649,121,76,70,544,165,85,157,495
NM_001351071,202,109,220,991,1197,642,901,2443,595,364,341,2622,825,450,769,2009
NM_001322882,1391,727,1372,4074,1189,599,886,1578,1957,1133,1167,7969,897,481,870,2751
NM_001322884,1437,748,1442,4193,1236,619,920,1628,2025,1181,1215,8123,942,501,919,2875
NR_120628,14,7,10,24,13,5,3,16,3,2,2,33,20,9,12,26
NM_020940,756,376,813,1911,821,431,566,1106,832,470,467,3588,908,484,872,1486
NM_139169,402,204,421,960,439,229,329,543,441,262,242,1694,522,261,490,659
NM_001276282,61,36,85,307,166,97,151,340,85,45,43,536,212,112,218,723
NM_001145453,8,3,11,164,23,10,10,39,11,8,6,160,33,16,25,61
NM_198515,11,4,9,59,3,2,1,14,4,2,2,81,16,6,5,19
NM_001011709,3,1,12,69,9,3,3,9,3,0,8,34,8,5,5,29
NM_000936,6,3,7,42,7,3,4,7,5,1,1,72,7,4,7,31
NM_006229,2,1,5,17,3,3,1,3,6,2,1,10,3,2,3,11
NM_005396,1,1,5,24,2,1,4,1,0,0,3,29,1,1,1,12
NM_001350930,2,0,0,4,4,1,0,1,1,0,0,16,2,1,4,7
NM_001330164,211,100,204,711,256,137,178,451,297,162,164,1369,158,76,181,433
NM_001242699,13,10,17,58,10,6,11,16,8,6,6,105,9,4,3,26
NM_001127211,31,14,28,115,27,17,21,45,35,23,11,172,49,25,32,104
NM_001258298,31,14,28,114,27,17,21,45,35,23,11,172,49,25,32,101
NM_001258300,93,41,101,339,111,49,70,126,113,64,60,396,143,64,121,297
NM_199131,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
NR_121651,1,1,3,5,0,0,0,6,0,0,0,11,1,0,1,8
NM_181840,2,1,4,22,8,4,2,8,4,2,1,28,3,3,4,13
NM_003054,342,178,354,747,365,189,253,509,295,170,190,1075,399,187,366,763
NM_173791,1540,761,1670,2985,1442,710,1097,1627,1402,840,790,4461,1965,1023,1769,2247
NR_002791,5,4,3,36,8,4,4,6,2,0,3,48,10,5,6,21
NM_001165924,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0
NM_014904,787,394,893,1329,623,324,424,679,750,420,415,2079,867,436,851,1022
NR_026941,35,15,40,90,43,24,39,39,49,28,20,86,41,21,42,71
NM_001134672,967,487,1064,2070,1024,525,825,1190,880,499,477,3656,1137,614,1087,1919
NM_004248,0,0,0,6,0,0,0,0,0,0,0,2,4,1,1,0
NM_153810,1233,608,1404,3114,1404,723,1096,1604,1225,721,713,5374,1869,958,1744,2621
NM_199461,275,143,340,686,294,166,235,568,281,154,172,1544,366,196,372,711
NM_003750,3661,1828,4053,5312,3734,2022,2764,3833,3538,2066,2071,9675,3953,2047,3827,5454
NR_130122,454,238,514,1121,409,229,304,611,519,308,317,2444,563,303,545,1201
NM_213649,341,161,359,739,328,185,252,463,397,218,230,1459,434,240,420,879
NR_110305,339,160,352,721,328,185,252,454,397,218,230,1428,429,238,419,869
NR_126106,259,142,289,490,232,123,182,263,199,104,123,1157,286,145,264,503
NM_005308,5603,2851,5981,12042,6204,3295,4632,7603,4300,2488,2512,15058,9302,4901,8624,12314
