Eli__repA_counts.bed,Eli__repB_counts.bed,Eli__repBss_counts.bed,Eli__repC_counts.bed,Elizabeth__repA_counts.bed,Elizabeth__repB_counts.bed,Elizabeth__repBss_counts.bed,Elizabeth__repC_counts.bed,Eric__repA_counts.bed,Eric__repB_counts.bed,Eric__repBss_counts.bed,Eric__repC_counts.bed,Ethan__repA_counts.bed,Ethan__repB_counts.bed,Ethan__repBss_counts.bed,Ethan__repC_counts.bed
NM_017818,177,93,208,625,177,95,155,333,166,102,101,879,265,150,238,641
NM_001204185,1308,668,1374,4337,949,490,627,2659,982,534,558,4621,1533,779,1478,5625
NR_033709,361,194,409,658,274,149,191,366,312,172,168,1125,388,192,343,732
NM_152492,9,3,14,60,10,4,9,22,14,10,11,119,21,11,16,71
NM_001288583,16,6,24,44,29,13,31,29,15,11,7,56,41,26,26,60
NM_020710,424,224,453,1048,420,197,322,602,451,253,267,1838,550,298,515,1257
NM_014704,503,237,562,1372,577,306,469,776,530,325,274,2440,831,438,780,1462
NM_001282669,159,79,217,537,197,103,152,268,247,126,165,914,273,141,240,526
NM_207356,102,51,117,339,120,58,99,152,114,68,52,788,162,86,169,319
NR_024455,53,25,75,185,56,24,47,69,41,21,32,229,118,59,101,276
NR_040065,0,0,3,14,4,1,0,2,0,0,0,1,0,0,0,5
NR_027088,0,0,0,12,0,0,2,0,4,2,7,1,0,0,0,0
NR_147025,5,4,4,34,1,0,1,19,3,2,1,6,4,2,5,16
NM_001042478,29,17,21,110,10,6,9,32,16,9,7,151,41,26,40,85
NM_001291594,390,190,432,997,398,200,294,523,416,230,239,1190,516,275,518,1360
NM_001199861,2675,1365,2891,8153,2928,1559,2117,3858,2099,1214,1206,10459,4919,2593,4687,9900
NM_015557,104,44,106,255,125,56,94,111,75,44,49,325,125,64,137,264
NM_000983,925,456,1047,1181,1076,561,747,900,870,492,510,2468,1163,621,1097,1248
NM_207396,413,208,415,994,359,180,277,708,354,206,209,1412,435,240,417,1094
NM_012405,366,162,409,974,510,264,364,704,418,222,268,1290,515,254,477,1097
NR_103534,2,1,3,8,1,0,1,0,0,0,0,9,6,5,19,14
NM_207370,130,57,134,779,208,99,165,367,177,98,95,1194,307,168,283,880
NM_007274,589,289,684,1668,935,508,685,1215,539,275,331,2231,981,501,887,2888
NM_019089,7,3,9,26,15,9,10,17,0,0,1,16,16,3,8,42
NM_031475,20,10,31,100,26,13,31,29,18,10,16,108,28,11,26,90
NM_003790,1,1,0,13,4,2,4,1,5,1,1,2,13,5,13,25
NM_198681,106,46,125,348,99,49,67,163,80,46,49,339,163,81,144,427
NM_024654,701,362,784,1450,758,379,510,863,711,401,386,2502,810,447,804,1442
NM_138697,31,19,28,105,37,22,22,35,25,12,19,180,24,9,27,96
NM_001278647,379,179,361,933,352,181,285,473,304,178,136,1650,465,236,458,1166
NM_014851,241,119,256,873,331,173,193,473,239,149,141,1451,374,203,353,958
NM_153812,176,96,158,412,183,106,115,200,151,84,86,872,169,90,175,492
NM_001195753,119,59,156,387,166,80,113,191,122,69,84,697,166,82,172,372
NM_138350,196,99,227,756,291,146,206,398,233,137,144,1301,364,188,311,756
NM_018198,1206,591,1277,2681,1419,731,1011,1616,1196,688,724,4315,1598,828,1596,3002
NR_104620,1,1,5,11,10,2,2,2,0,0,0,8,3,2,4,5
NR_146202,2080,1055,2291,3591,2161,1107,1553,2164,2111,1265,1221,6181,3121,1649,2958,3407
NM_001195563,1728,880,1909,2929,1739,878,1258,1749,1782,1079,1050,5264,2542,1332,2425,2714
NR_146199,12,6,12,14,3,2,7,1,7,5,7,7,12,4,13,14
NM_004781,122,58,141,368,174,92,136,206,169,95,114,893,267,134,222,382
NM_001289864,294,152,340,582,494,250,386,309,310,164,161,1228,540,294,501,1070
NM_001289862,289,150,339,581,494,250,386,308,310,164,159,1223,539,294,499,1069
NM_021995,1,0,7,16,3,1,2,5,4,3,3,15,5,5,1,24
NM_001561,182,89,211,568,239,105,188,189,156,91,89,374,253,122,253,435
NM_001123377,529,265,559,1124,573,301,399,615,460,269,278,1836,635,305,630,1092
NM_007262,540,273,576,1153,588,308,414,624,483,284,293,1844,648,314,640,1122
NM_018948,27,13,14,90,62,31,61,83,23,11,12,124,44,25,34,105
NR_125998,2,0,4,1,0,0,0,4,2,1,3,8,1,1,2,1
NM_001080397,11,7,13,48,18,9,18,26,15,3,7,47,17,5,28,56
NM_001042681,11219,5547,12185,21726,11163,5840,8416,11717,9044,5093,5178,32070,14763,7740,14103,16144
NR_125999,222,117,211,461,272,127,171,251,199,117,120,631,305,161,255,335
NM_001353346,2855,1425,3171,7031,4103,2116,3152,3864,3143,1780,1744,14628,4767,2426,4707,8221
NM_001270500,13,3,28,61,16,12,15,21,11,8,11,109,24,17,16,63
NM_207420,27,15,26,51,24,18,17,21,20,11,9,64,21,9,18,72
NM_001328619,2221,1090,2445,2853,1207,605,886,1214,1822,1042,1074,3778,1834,939,1779,2607
NM_001135585,1745,846,1934,2022,878,442,647,821,1459,840,877,2640,1383,708,1376,1846
NM_024980,346,180,383,1188,375,203,289,470,497,298,278,2465,597,319,568,1085
NR_132742,1789,906,1871,3947,2241,1173,1698,1839,1374,769,737,4616,3823,1992,3528,4179
NR_132738,189,96,183,698,154,77,125,295,179,99,69,791,403,219,379,592
NM_004285,611,315,648,1659,753,397,528,965,865,520,474,2973,895,454,807,1735
NM_025106,630,303,624,1796,1224,665,948,588,314,183,160,1675,1005,509,980,1901
NR_104622,52,25,37,113,36,20,26,43,30,16,20,124,71,27,61,83
NM_032315,719,343,755,1404,833,436,577,873,866,517,502,3143,857,427,859,1600
NM_001010866,111,52,114,440,186,102,147,236,146,81,76,639,192,101,227,597
NM_005026,4604,2300,4860,11744,6944,3593,4957,7176,3951,2234,2295,15909,7342,3817,7225,12905
NR_126367,748,363,785,1759,1230,636,887,1141,616,347,373,2311,1107,575,1125,1811
NM_001350235,2425,1192,2490,6015,3384,1720,2328,3640,1960,1119,1115,7984,3903,2027,3753,6720
NM_001009566,2171,1074,2311,5284,2881,1514,2095,3201,1898,1083,1098,7317,2972,1527,2790,6129
NM_001012329,301,156,356,829,733,362,555,713,329,181,190,1281,724,385,702,1319
NM_001316975,152,70,175,366,132,63,96,175,121,63,70,589,183,97,155,297
NM_001297778,406,212,406,1032,456,245,321,513,469,261,221,1475,572,318,526,951
NM_001297779,348,180,353,892,405,224,298,443,407,225,188,1305,495,277,462,818
NR_158969,86,44,86,211,92,54,55,73,94,49,52,220,107,67,105,197
NM_052960,23,16,17,67,17,11,15,42,25,11,14,124,15,8,21,67
NM_006048,1670,870,1811,3733,1864,970,1428,1900,1694,960,973,6051,2388,1209,2329,3388
NM_183416,504,259,562,1107,508,250,350,499,386,209,233,1337,757,391,650,1006
NM_015074,862,437,957,1858,783,396,572,818,599,334,364,2410,1262,639,1133,1684
NM_002631,253,129,263,466,347,179,274,400,286,175,175,761,340,187,302,614
NM_199294,45,29,38,122,37,16,36,54,49,28,29,220,47,26,53,147
NR_036462,45,29,38,102,37,16,36,50,49,28,29,210,47,26,49,135
NM_004401,436,231,486,865,512,245,414,502,508,271,301,1538,640,318,550,884
NM_004565,1875,946,2020,3823,2209,1153,1590,2456,1666,944,959,5943,2451,1261,2336,3991
NM_001079843,404,207,438,1048,465,220,348,726,189,115,117,959,367,191,420,1272
NM_001170754,50,26,72,141,48,28,32,53,45,27,46,295,32,18,38,197
NM_007375,999,517,1097,1856,1186,612,849,971,1028,586,618,3624,1154,626,1106,1748
NM_006610,632,334,666,1111,635,343,515,887,534,293,307,2134,681,374,678,1504
NM_003132,95,40,105,159,83,45,49,78,94,51,53,341,92,40,82,221
NM_002685,666,354,677,1499,727,354,579,864,668,371,389,2486,937,499,893,1381
NM_004958,1523,751,1681,2913,1556,799,1202,1972,1440,830,825,4529,1876,968,1925,3125
NR_046600,53,28,52,112,51,24,40,57,36,21,14,129,63,31,72,85
NM_021146,34,17,44,108,54,27,39,99,46,22,36,125,71,33,63,116
NM_013319,401,215,393,635,355,192,232,353,372,201,206,1106,391,209,326,646
NM_020780,11,8,19,85,22,10,13,27,8,5,7,55,36,19,43,43
NR_104624,3,3,1,4,0,0,0,0,0,0,0,3,0,0,0,2
NM_012168,4,1,3,2,4,2,2,8,3,2,2,6,7,5,10,6
NM_001304791,57,25,91,244,79,39,69,155,77,46,33,387,140,65,138,353
NM_018438,248,132,255,584,238,119,167,349,188,96,119,835,300,146,311,884
NM_001127325,121,54,162,510,128,66,100,259,121,68,70,855,245,139,231,686
